reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.9,1e-08,0.4,5.029200000000001,1.9019541950320464
300,gold,0.3,0.01,0.3,0.9,1e-08,0.4,7.563600000000002,0.9743793101251685
300,gold,0.3,0.01,0.5,0.9,1e-08,0.4,7.914000000000001,1.2816314602880194
300,gold,0.3,0.01,0.7,0.9,1e-08,0.4,8.124,0.8412162623249738
300,gold,0.3,0.01,0.9,0.9,1e-08,0.4,8.4978,1.0788228584897523
300,gold,0.3,0.01,1.0,0.9,1e-08,0.4,8.4504,1.6184508148226189
300,gold,0.3,0.03,0.1,0.9,1e-08,0.4,4.839600000000001,1.5991169563230827
300,gold,0.3,0.03,0.3,0.9,1e-08,0.4,7.868399999999999,1.2518628678892914
300,gold,0.3,0.03,0.5,0.9,1e-08,0.4,8.0376,1.195708927791375
300,gold,0.3,0.03,0.7,0.9,1e-08,0.4,8.52,1.2050085476875254
300,gold,0.3,0.03,0.9,0.9,1e-08,0.4,8.881200000000002,1.3351470930200915
300,gold,0.3,0.03,1.0,0.9,1e-08,0.4,8.764800000000001,1.3579202332979652
300,gold,0.3,0.05,0.1,0.9,1e-08,0.4,4.8684,1.7115008150743025
300,gold,0.3,0.05,0.3,0.9,1e-08,0.4,7.587599999999999,1.3008968598624568
300,gold,0.3,0.05,0.5,0.9,1e-08,0.4,8.056799999999999,1.1266964808678517
300,gold,0.3,0.05,0.7,0.9,1e-08,0.4,7.9866,0.8208230259928136
300,gold,0.3,0.05,0.9,0.9,1e-08,0.4,8.5866,1.294252850103101
300,gold,0.3,0.05,1.0,0.9,1e-08,0.4,8.801400000000001,1.6656403093105066
300,gold,0.3,0.07,0.1,0.9,1e-08,0.4,4.647000000000002,1.2275602632864913
300,gold,0.3,0.07,0.3,0.9,1e-08,0.4,7.707599999999999,1.362854005387224
300,gold,0.3,0.07,0.5,0.9,1e-08,0.4,7.9392,1.0435336889626514
300,gold,0.3,0.07,0.7,0.9,1e-08,0.4,8.5608,1.2560131209505736
300,gold,0.3,0.07,0.9,0.9,1e-08,0.4,8.935200000000002,2.0443362150096545
300,gold,0.3,0.07,1.0,0.9,1e-08,0.4,8.713799999999999,1.3939358521825895
300,gold,0.3,0.09,0.1,0.9,1e-08,0.4,4.825800000000001,1.2440448384202232
300,gold,0.3,0.09,0.3,0.9,1e-08,0.4,7.7286,1.1660562765149887
300,gold,0.3,0.09,0.5,0.9,1e-08,0.4,8.1048,1.1521962332866744
300,gold,0.3,0.09,0.7,0.9,1e-08,0.4,8.3388,1.267724323344788
300,gold,0.3,0.09,0.9,0.9,1e-08,0.4,8.727,1.6374993740456816
300,gold,0.3,0.09,1.0,0.9,1e-08,0.4,8.4204,1.167767716628611
300,gold,0.3,0.1,0.1,0.9,1e-08,0.4,4.9758000000000004,1.7356622828188675
300,gold,0.3,0.1,0.3,0.9,1e-08,0.4,7.6818,1.4719677849735713
300,gold,0.3,0.1,0.5,0.9,1e-08,0.4,8.047799999999999,1.1633288271163915
300,gold,0.3,0.1,0.7,0.9,1e-08,0.4,8.673,1.5382793634447551
300,gold,0.3,0.1,0.9,0.9,1e-08,0.4,8.512200000000002,1.3869141141397325
300,gold,0.3,0.1,1.0,0.9,1e-08,0.4,8.4192,1.3790939634412156
300,gold,0.5,0.01,0.1,0.9,1e-08,0.4,4.455600000000001,1.4880295158362953
300,gold,0.5,0.01,0.3,0.9,1e-08,0.4,7.387199999999999,0.9923709790194394
300,gold,0.5,0.01,0.5,0.9,1e-08,0.4,8.004,1.0356424093286252
300,gold,0.5,0.01,0.7,0.9,1e-08,0.4,8.7612,1.7690617174084116
300,gold,0.5,0.01,0.9,0.9,1e-08,0.4,8.4786,1.1034893927899807
300,gold,0.5,0.01,1.0,0.9,1e-08,0.4,8.0934,1.0259524550387313
300,gold,0.5,0.03,0.1,0.9,1e-08,0.4,4.5342,1.2124693645614313
300,gold,0.5,0.03,0.3,0.9,1e-08,0.4,7.6217999999999995,1.0365112445120896
300,gold,0.5,0.03,0.5,0.9,1e-08,0.4,8.1318,1.0289083341095069
300,gold,0.5,0.03,0.7,0.9,1e-08,0.4,8.373,1.2505366048221058
