reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.5,0.09,0.1,0.9,1e-08,1.0,4.113600000000001,1.2084935415632139
300,gold,0.5,0.09,0.3,0.9,1e-08,1.0,7.7177999999999995,1.037032092078158
300,gold,0.5,0.09,0.5,0.9,1e-08,1.0,8.2548,1.3988644537624075
300,gold,0.5,0.09,0.7,0.9,1e-08,1.0,8.9928,1.2923415028544123
300,gold,0.5,0.09,0.9,0.9,1e-08,1.0,8.6892,1.2281570583602086
300,gold,0.5,0.09,1.0,0.9,1e-08,1.0,8.4102,1.2223902650135925
300,gold,0.5,0.1,0.1,0.9,1e-08,1.0,4.2462,1.153858032861929
300,gold,0.5,0.1,0.3,0.9,1e-08,1.0,7.6116,1.0300838024160943
300,gold,0.5,0.1,0.5,0.9,1e-08,1.0,8.2536,0.9977882741343481
300,gold,0.5,0.1,0.7,0.9,1e-08,1.0,8.5782,1.238950023205133
300,gold,0.5,0.1,0.9,0.9,1e-08,1.0,8.3916,1.199781580121982
300,gold,0.5,0.1,1.0,0.9,1e-08,1.0,8.914800000000001,1.3729326858954156
300,gold,0.7,0.01,0.1,0.9,1e-08,1.0,4.362,1.3266324283689133
300,gold,0.7,0.01,0.3,0.9,1e-08,1.0,7.279799999999999,1.1381797573318544
300,gold,0.7,0.01,0.5,0.9,1e-08,1.0,8.367600000000001,1.2111894319221912
300,gold,0.7,0.01,0.7,0.9,1e-08,1.0,8.9136,1.3711652854415475
300,gold,0.7,0.01,0.9,0.9,1e-08,1.0,8.4198,1.175237661071156
300,gold,0.7,0.01,1.0,0.9,1e-08,1.0,8.5632,1.4857284274052243
300,gold,0.7,0.03,0.1,0.9,1e-08,1.0,4.339800000000001,1.2654512080676994
300,gold,0.7,0.03,0.3,0.9,1e-08,1.0,7.6464,1.0293146457716411
300,gold,0.7,0.03,0.5,0.9,1e-08,1.0,8.4282,1.280631234977501
300,gold,0.7,0.03,0.7,0.9,1e-08,1.0,8.500200000000001,1.2798129394563877
300,gold,0.7,0.03,0.9,0.9,1e-08,1.0,8.5386,1.1701982908891984
300,gold,0.7,0.03,1.0,0.9,1e-08,1.0,8.360999999999999,1.3710183806207703
300,gold,0.7,0.05,0.1,0.9,1e-08,1.0,4.7166,1.5918859381249655
300,gold,0.7,0.05,0.3,0.9,1e-08,1.0,7.721999999999999,1.1133258283180179
300,gold,0.7,0.05,0.5,0.9,1e-08,1.0,8.0466,0.9008573915998029
300,gold,0.7,0.05,0.7,0.9,1e-08,1.0,8.569799999999999,1.5147499991747817
300,gold,0.7,0.05,0.9,0.9,1e-08,1.0,8.272799999999998,1.2950629946068264
300,gold,0.7,0.05,1.0,0.9,1e-08,1.0,8.3442,1.2946633384783859
300,gold,0.7,0.07,0.1,0.9,1e-08,1.0,4.336200000000001,1.3741625668020505
300,gold,0.7,0.07,0.3,0.9,1e-08,1.0,7.491600000000001,1.101529409502987
300,gold,0.7,0.07,0.5,0.9,1e-08,1.0,8.5866,1.143167546775187
300,gold,0.7,0.07,0.7,0.9,1e-08,1.0,8.695200000000002,1.6255965551144602
300,gold,0.7,0.07,0.9,0.9,1e-08,1.0,8.373,1.128032712291625
300,gold,0.7,0.07,1.0,0.9,1e-08,1.0,8.704200000000002,1.2800829504371969
300,gold,0.7,0.09,0.1,0.9,1e-08,1.0,4.272600000000001,1.3092694298730119
300,gold,0.7,0.09,0.3,0.9,1e-08,1.0,7.229399999999999,1.0837782245459626
300,gold,0.7,0.09,0.5,0.9,1e-08,1.0,8.124600000000001,1.411346038361961
300,gold,0.7,0.09,0.7,0.9,1e-08,1.0,8.4822,1.3215129057258577
300,gold,0.7,0.09,0.9,0.9,1e-08,1.0,8.2656,1.1017254830492027
300,gold,0.7,0.09,1.0,0.9,1e-08,1.0,8.3286,1.2298900926505592
300,gold,0.7,0.1,0.1,0.9,1e-08,1.0,4.3188,1.3944438891543824
300,gold,0.7,0.1,0.3,0.9,1e-08,1.0,7.059,0.6154330182887493
300,gold,0.7,0.1,0.5,0.9,1e-08,1.0,8.3682,1.02359032820753
300,gold,0.7,0.1,0.7,0.9,1e-08,1.0,8.023200000000001,1.1056155570540789
300,gold,0.7,0.1,0.9,0.9,1e-08,1.0,8.3562,1.3558726931389977
300,gold,0.7,0.1,1.0,0.9,1e-08,1.0,8.148,1.301092771480958
300,gold,0.9,0.01,0.1,0.9,1e-08,1.0,3.8616000000000015,1.101669932420777
300,gold,0.9,0.01,0.3,0.9,1e-08,1.0,6.8363999999999985,1.1974749433704241
300,gold,0.9,0.01,0.5,0.9,1e-08,1.0,8.403599999999999,1.2650789066299382
300,gold,0.9,0.01,0.7,0.9,1e-08,1.0,7.8252,1.1189277724679108
300,gold,0.9,0.01,0.9,0.9,1e-08,1.0,8.479199999999999,1.656319099690636
300,gold,0.9,0.01,1.0,0.9,1e-08,1.0,8.668200000000002,1.3980928295360069
300,gold,0.9,0.03,0.1,0.9,1e-08,1.0,4.054800000000001,1.1876993558977795
300,gold,0.9,0.03,0.3,0.9,1e-08,1.0,7.0002,1.8689071566024889
300,gold,0.9,0.03,0.5,0.9,1e-08,1.0,8.3328,1.4925023819076473
300,gold,0.9,0.03,0.7,0.9,1e-08,1.0,8.270999999999999,1.0383129586015962
300,gold,0.9,0.03,0.9,0.9,1e-08,1.0,8.6796,2.0057816032659193
300,gold,0.9,0.03,1.0,0.9,1e-08,1.0,8.4162,1.2574919323796871
300,gold,0.9,0.05,0.1,0.9,1e-08,1.0,4.067400000000001,1.400715260143902
300,gold,0.9,0.05,0.3,0.9,1e-08,1.0,7.075799999999999,1.0805133779828922
300,gold,0.9,0.05,0.5,0.9,1e-08,1.0,8.6766,1.3976122638271318
300,gold,0.9,0.05,0.7,0.9,1e-08,1.0,8.2068,1.3932506450743174
300,gold,0.9,0.05,0.9,0.9,1e-08,1.0,8.148,1.0414036681325831
300,gold,0.9,0.05,1.0,0.9,1e-08,1.0,8.0976,0.9375648457573479
300,gold,0.9,0.07,0.1,0.9,1e-08,1.0,3.8964000000000008,1.1392614449721365
300,gold,0.9,0.07,0.3,0.9,1e-08,1.0,7.4441999999999995,1.438842159515768
300,gold,0.9,0.07,0.5,0.9,1e-08,1.0,7.9536,0.9569584316991001
300,gold,0.9,0.07,0.7,0.9,1e-08,1.0,8.157,1.066182442173946
300,gold,0.9,0.07,0.9,0.9,1e-08,1.0,8.325,1.4983508934825647
300,gold,0.9,0.07,1.0,0.9,1e-08,1.0,8.020199999999999,1.0020001796407028
300,gold,0.9,0.09,0.1,0.9,1e-08,1.0,3.7638000000000007,1.2375428719846435
300,gold,0.9,0.09,0.3,0.9,1e-08,1.0,7.328999999999999,1.460184166466682
300,gold,0.9,0.09,0.5,0.9,1e-08,1.0,8.496599999999999,1.4211223874107397
300,gold,0.9,0.09,0.7,0.9,1e-08,1.0,8.2104,1.2318518742121558
300,gold,0.9,0.09,0.9,0.9,1e-08,1.0,7.829399999999999,1.1090540293421232
300,gold,0.9,0.09,1.0,0.9,1e-08,1.0,8.2476,1.1607455535129143
300,gold,0.9,0.1,0.1,0.9,1e-08,1.0,3.5844000000000014,1.6310604648510125
300,gold,0.9,0.1,0.3,0.9,1e-08,1.0,7.222800000000001,1.0196745363104833
300,gold,0.9,0.1,0.5,0.9,1e-08,1.0,7.924799999999999,0.9531498098410341
300,gold,0.9,0.1,0.7,0.9,1e-08,1.0,8.033999999999999,0.9807201435679803
300,gold,0.9,0.1,0.9,0.9,1e-08,1.0,8.3856,1.1101952260751258
300,gold,0.9,0.1,1.0,0.9,1e-08,1.0,8.5224,1.52368154153025
300,gold,0.92,0.01,0.1,0.9,1e-08,1.0,4.005000000000002,1.1770839392328822
300,gold,0.92,0.01,0.3,0.9,1e-08,1.0,6.6186,1.268901272755292
300,gold,0.92,0.01,0.5,0.9,1e-08,1.0,7.8192,0.8487224281235889
300,gold,0.92,0.01,0.7,0.9,1e-08,1.0,8.2938,1.4196564232235909
300,gold,0.92,0.01,0.9,0.9,1e-08,1.0,8.0418,0.9554669853009053
300,gold,0.92,0.01,1.0,0.9,1e-08,1.0,8.258999999999999,1.1163007659228759
300,gold,0.92,0.03,0.1,0.9,1e-08,1.0,4.0200000000000005,1.1046226505010666
300,gold,0.92,0.03,0.3,0.9,1e-08,1.0,6.860399999999999,1.0766621754292292
300,gold,0.92,0.03,0.5,0.9,1e-08,1.0,7.95,1.393230490622424
300,gold,0.92,0.03,0.7,0.9,1e-08,1.0,8.196,0.9771124807308523
300,gold,0.92,0.03,0.9,0.9,1e-08,1.0,8.216999999999999,1.3025894978848866
300,gold,0.92,0.03,1.0,0.9,1e-08,1.0,8.199599999999998,1.094006508207333
300,gold,0.92,0.05,0.1,0.9,1e-08,1.0,4.4220000000000015,1.7004893413367812
300,gold,0.92,0.05,0.3,0.9,1e-08,1.0,6.8244,1.0228344147514787
300,gold,0.92,0.05,0.5,0.9,1e-08,1.0,8.392199999999999,1.3001988924776087
300,gold,0.92,0.05,0.7,0.9,1e-08,1.0,8.1486,1.0568228044473682
300,gold,0.92,0.05,0.9,0.9,1e-08,1.0,8.330400000000001,1.3718110073913252
300,gold,0.92,0.05,1.0,0.9,1e-08,1.0,8.445,1.4548936043573766
300,gold,0.92,0.07,0.1,0.9,1e-08,1.0,3.903000000000002,1.2352869302311917
300,gold,0.92,0.07,0.3,0.9,1e-08,1.0,7.2612000000000005,0.9561891863015392
300,gold,0.92,0.07,0.5,0.9,1e-08,1.0,8.618400000000001,1.356173086298353
300,gold,0.92,0.07,0.7,0.9,1e-08,1.0,8.2482,1.3750372940396929
300,gold,0.92,0.07,0.9,0.9,1e-08,1.0,8.139599999999998,1.6909937433355566
300,gold,0.92,0.07,1.0,0.9,1e-08,1.0,8.586,1.6402929006735354
300,gold,0.92,0.09,0.1,0.9,1e-08,1.0,3.823200000000001,1.6560821718743302
300,gold,0.92,0.09,0.3,0.9,1e-08,1.0,7.0211999999999986,0.9118965730827154
300,gold,0.92,0.09,0.5,0.9,1e-08,1.0,7.922999999999999,1.3118866566895175
300,gold,0.92,0.09,0.7,0.9,1e-08,1.0,8.3466,1.3441726228427657
300,gold,0.92,0.09,0.9,0.9,1e-08,1.0,8.4,1.317548632878499
300,gold,0.92,0.09,1.0,0.9,1e-08,1.0,8.748,1.5074717907808428
300,gold,0.92,0.1,0.1,0.9,1e-08,1.0,3.394200000000001,1.4082910068590229
300,gold,0.92,0.1,0.3,0.9,1e-08,1.0,6.8514,0.883095034523465
300,gold,0.92,0.1,0.5,0.9,1e-08,1.0,8.1564,1.3233834818373704
300,gold,0.92,0.1,0.7,0.9,1e-08,1.0,8.5116,1.381502312701647
300,gold,0.92,0.1,0.9,0.9,1e-08,1.0,8.145,1.1293595530210916
300,gold,0.92,0.1,1.0,0.9,1e-08,1.0,8.061,1.0937730111865074
300,gold,0.95,0.01,0.1,0.9,1e-08,1.0,4.241400000000001,1.2873166044140034
300,gold,0.95,0.01,0.3,0.9,1e-08,1.0,6.546600000000001,1.1560536492741154
300,gold,0.95,0.01,0.5,0.9,1e-08,1.0,8.0244,0.9691446950791197
300,gold,0.95,0.01,0.7,0.9,1e-08,1.0,8.3964,1.5770145972691567
300,gold,0.95,0.01,0.9,0.9,1e-08,1.0,8.4042,1.2880200153724317
300,gold,0.95,0.01,1.0,0.9,1e-08,1.0,8.562000000000001,1.3648173504172634
300,gold,0.95,0.03,0.1,0.9,1e-08,1.0,4.254600000000001,1.5270358345500603
300,gold,0.95,0.03,0.3,0.9,1e-08,1.0,7.0812,1.6214566784222149
300,gold,0.95,0.03,0.5,0.9,1e-08,1.0,7.997999999999999,1.2730325997396927
300,gold,0.95,0.03,0.7,0.9,1e-08,1.0,7.912800000000002,1.1381504997143397
300,gold,0.95,0.03,0.9,0.9,1e-08,1.0,8.145000000000001,1.0504019230751627
300,gold,0.95,0.03,1.0,0.9,1e-08,1.0,7.707000000000002,0.6934258431872876
300,gold,0.95,0.05,0.1,0.9,1e-08,1.0,4.014600000000001,1.103058674776641
300,gold,0.95,0.05,0.3,0.9,1e-08,1.0,6.982799999999999,1.3072588726032808
300,gold,0.95,0.05,0.5,0.9,1e-08,1.0,8.2176,1.5886005917158665
300,gold,0.95,0.05,0.7,0.9,1e-08,1.0,8.124,1.1736895671343424
300,gold,0.95,0.05,0.9,0.9,1e-08,1.0,8.1636,0.9903788366074868
300,gold,0.95,0.05,1.0,0.9,1e-08,1.0,7.973399999999999,0.942112541048043
300,gold,0.95,0.07,0.1,0.9,1e-08,1.0,3.847800000000001,1.40598078222997
300,gold,0.95,0.07,0.3,0.9,1e-08,1.0,6.891000000000001,1.207065946831407
300,gold,0.95,0.07,0.5,0.9,1e-08,1.0,7.981800000000001,1.2676881162178655
300,gold,0.95,0.07,0.7,0.9,1e-08,1.0,8.3628,1.4883551189148376
300,gold,0.95,0.07,0.9,0.9,1e-08,1.0,8.483999999999998,1.511302219941465
300,gold,0.95,0.07,1.0,0.9,1e-08,1.0,8.3082,1.3529861640090777
300,gold,0.95,0.09,0.1,0.9,1e-08,1.0,3.7962000000000007,2.015825081697318
