spectral_radius,input_scale,leaking_rate,ridge_alpha,connectivity,mean_T_VPT,std_dev
0.9,0.8,0.3,1e-07,0.1,8.590000000000005,1.9346162410152572
0.9,0.8,0.4,1e-06,0.02,5.7390000000000025,2.3693499108405236
0.9,0.8,0.4,1e-06,0.04,6.153000000000004,1.6770602255136795
0.9,0.8,0.4,1e-06,0.06,6.792000000000003,2.19322046315458
0.9,0.8,0.4,1e-06,0.08,6.542000000000003,1.8260219056736453
0.9,0.8,0.4,1e-06,0.1,7.130000000000003,2.190931308827365
0.9,0.8,0.4,1e-07,0.02,5.756000000000005,2.5876985914128414
0.9,0.8,0.4,1e-07,0.04,6.931000000000003,2.482728136546571
0.9,0.8,0.4,1e-07,0.06,6.597000000000003,2.351538007347531
0.9,0.8,0.4,1e-07,0.08,8.163000000000007,2.5400809042233274
0.9,0.8,0.4,1e-07,0.1,8.344000000000005,2.733968544076538
0.9,0.8,0.5,1e-06,0.02,4.649000000000004,1.555692450325579
0.9,0.8,0.5,1e-06,0.04,5.109000000000006,1.2833000428582573
0.9,0.8,0.5,1e-06,0.06,5.618000000000004,1.68259204800213
0.9,0.8,0.5,1e-06,0.08,5.287000000000006,1.2440783737369572
0.9,0.8,0.5,1e-06,0.1,6.084000000000005,1.9118744728668797
0.9,0.8,0.5,1e-07,0.02,4.355000000000007,2.2189896349465017
0.9,0.8,0.5,1e-07,0.04,6.325000000000003,3.3726006285950922
0.9,0.8,0.5,1e-07,0.06,5.525000000000004,2.491705239389283
0.9,0.8,0.5,1e-07,0.08,5.789000000000004,2.363069825460095
0.9,0.8,0.5,1e-07,0.1,5.925000000000006,2.7056819842693995
0.9,0.8,0.6,1e-06,0.02,4.0730000000000075,1.5227511287140798
0.9,0.8,0.6,1e-06,0.04,4.330000000000004,1.575798210431783
0.9,0.8,0.6,1e-06,0.06,5.428000000000004,1.6817300615734971
0.9,0.8,0.6,1e-06,0.08,4.354000000000006,1.8669665235349033
0.9,0.8,0.6,1e-06,0.1,5.050000000000006,1.9830935429273109
0.9,0.8,0.6,1e-07,0.02,4.233000000000004,2.494564290612691
0.9,0.8,0.6,1e-07,0.04,3.8350000000000035,1.7309173868212198
0.9,0.8,0.6,1e-07,0.06,5.720000000000003,1.900347336672955
0.9,0.8,0.6,1e-07,0.08,3.917000000000003,1.7563516162773305
0.9,0.8,0.6,1e-07,0.1,5.470000000000006,2.645883595323122
0.9,0.8,0.7,1e-06,0.02,4.399000000000001,2.617628506874112
0.9,0.8,0.7,1e-06,0.04,4.454000000000005,2.480581383466383
0.9,0.8,0.7,1e-06,0.06,4.075000000000005,1.4337625326392118
0.9,0.8,0.7,1e-06,0.08,4.159000000000003,1.7054908384391883
0.9,0.8,0.7,1e-06,0.1,4.021000000000005,2.119240194031812
0.9,0.8,0.7,1e-07,0.02,4.132000000000002,2.3752675638756986
0.9,0.8,0.7,1e-07,0.04,3.877000000000007,2.2088392879519323
0.9,0.8,0.7,1e-07,0.06,4.4940000000000015,2.553241860850633
0.9,0.8,0.7,1e-07,0.08,3.4010000000000034,1.8324352648865938
0.9,0.8,0.7,1e-07,0.1,3.758000000000007,2.5106724198907333
0.9,1.0,0.3,1e-06,0.02,4.784000000000008,2.3857879201639034
0.9,1.0,0.3,1e-06,0.04,5.871000000000005,2.2227593212041645
0.9,1.0,0.3,1e-06,0.06,5.296000000000005,2.271348498139374
0.9,1.0,0.3,1e-06,0.08,4.993000000000004,1.6010156151643247
0.9,1.0,0.3,1e-06,0.1,6.806000000000006,3.2282137475700083
0.9,1.0,0.3,1e-07,0.02,4.4040000000000035,2.015059304338213
0.9,1.0,0.3,1e-07,0.04,4.897000000000003,2.025598923775389
0.9,1.0,0.3,1e-07,0.06,4.605000000000007,2.2262693008708516
0.9,1.0,0.3,1e-07,0.08,4.126000000000002,1.4404874175083913
0.9,1.0,0.3,1e-07,0.1,4.881000000000003,2.082915984863525
0.9,1.0,0.4,1e-06,0.02,3.1290000000000076,1.8916920996821867
0.9,1.0,0.4,1e-06,0.04,3.504000000000005,1.3977353111372683
0.9,1.0,0.4,1e-06,0.06,4.215000000000003,2.0918687817356036
0.9,1.0,0.4,1e-06,0.08,4.133000000000003,2.1012974563350117
0.9,1.0,0.4,1e-06,0.1,4.4950000000000045,2.107528173002674
0.9,1.0,0.4,1e-07,0.02,3.512000000000003,2.0706945694621393
0.9,1.0,0.4,1e-07,0.04,3.464000000000007,1.7449997134670219
0.9,1.0,0.4,1e-07,0.06,3.930000000000004,1.5768512929252394
0.9,1.0,0.4,1e-07,0.08,3.269000000000004,1.5169241905909467
0.9,1.0,0.4,1e-07,0.1,3.8380000000000036,2.1275704453672053
0.9,1.0,0.5,1e-06,0.02,2.0940000000000056,1.1168366039846647
0.9,1.0,0.5,1e-06,0.04,2.8960000000000035,1.9397587478859322
0.9,1.0,0.5,1e-06,0.06,2.977000000000001,1.419693981110013
0.9,1.0,0.5,1e-06,0.08,2.690000000000006,1.6643016553497774
0.9,1.0,0.5,1e-06,0.1,3.020000000000002,1.4391525283999602
0.9,1.0,0.5,1e-07,0.02,1.9020000000000052,0.9000422212318713
0.9,1.0,0.5,1e-07,0.04,2.5400000000000063,1.8750679987669776
0.9,1.0,0.5,1e-07,0.06,2.562000000000006,1.1974289122950017
0.9,1.0,0.5,1e-07,0.08,2.4360000000000057,2.139388697735872
0.9,1.0,0.5,1e-07,0.1,2.4410000000000025,1.3655691121287141
0.9,1.0,0.6,1e-06,0.02,1.9350000000000065,1.0703620882673281
0.9,1.0,0.6,1e-06,0.04,2.465000000000006,1.413037508348594
0.9,1.0,0.6,1e-06,0.06,2.5030000000000046,1.2345084041836247
0.9,1.0,0.6,1e-06,0.08,2.049000000000002,1.036155876304333
0.9,1.0,0.6,1e-06,0.1,2.1400000000000032,1.1219269138406478
0.9,1.0,0.6,1e-07,0.02,1.9100000000000024,1.0027661741403127
0.9,1.0,0.6,1e-07,0.04,2.1640000000000086,1.1960367887318533
0.9,1.0,0.6,1e-07,0.06,2.108000000000004,1.0921794724311573
0.9,1.0,0.6,1e-07,0.08,2.0110000000000054,1.3558093523796035
0.9,1.0,0.6,1e-07,0.1,1.6940000000000026,0.8627189577145067
0.9,1.0,0.7,1e-06,0.02,2.076000000000002,1.2945980071049104
0.9,1.0,0.7,1e-06,0.04,2.119000000000004,1.283658443667942
0.9,1.0,0.7,1e-06,0.06,2.448000000000005,1.3526477738125362
0.9,1.0,0.7,1e-06,0.08,1.6900000000000035,0.712923558314634
0.9,1.0,0.7,1e-06,0.1,2.1390000000000042,1.4349003449717328
0.9,1.0,0.7,1e-07,0.02,2.272000000000003,1.3886885900013717
0.9,1.0,0.7,1e-07,0.04,2.0970000000000057,1.3667080888031635
0.9,1.0,0.7,1e-07,0.06,2.2160000000000055,1.505172415373068
0.9,1.0,0.7,1e-07,0.08,1.609000000000003,1.0477304042548348
0.9,1.0,0.7,1e-07,0.1,1.729000000000005,1.0063890897659813
0.94,0.2,0.3,1e-06,0.02,8.026000000000003,1.7628510997812616
0.94,0.2,0.3,1e-06,0.04,7.623000000000003,1.8132873462305965
0.94,0.2,0.3,1e-06,0.06,7.508000000000007,1.7117523185320929
0.94,0.2,0.3,1e-06,0.08,7.797000000000004,2.1098177646422456
0.94,0.2,0.3,1e-06,0.1,7.751000000000005,1.9582898151193033
0.94,0.2,0.3,1e-07,0.02,9.787000000000003,1.6151566487495894
0.94,0.2,0.3,1e-07,0.04,8.461000000000002,2.5188288945460338
0.94,0.2,0.3,1e-07,0.06,8.474000000000004,1.6552594962724136
0.94,0.2,0.3,1e-07,0.08,8.815000000000007,1.6692857754141432
0.94,0.2,0.3,1e-07,0.1,8.545000000000005,2.3718505433521777
0.94,0.2,0.4,1e-06,0.02,9.072000000000003,1.8345070182476793
0.94,0.2,0.4,1e-06,0.04,8.834000000000005,1.490531448846353
0.94,0.2,0.4,1e-06,0.06,8.675000000000004,1.6516158754383485
0.94,0.2,0.4,1e-06,0.08,9.231000000000003,2.2583310209090257
0.94,0.2,0.4,1e-06,0.1,8.075000000000005,2.029382911133331
0.94,0.2,0.4,1e-07,0.02,10.176000000000004,1.2227608106248757
0.94,0.2,0.4,1e-07,0.04,9.946000000000005,1.0341199156770944
0.94,0.2,0.4,1e-07,0.06,9.483000000000006,1.3630300803724087
0.94,0.2,0.4,1e-07,0.08,9.481000000000003,1.2909140172761322
0.94,0.2,0.4,1e-07,0.1,9.163000000000002,1.069977102558743
0.94,0.2,0.5,1e-06,0.02,9.099000000000004,1.6189932056682623
0.94,0.2,0.5,1e-06,0.04,9.198000000000004,1.6626472867087634
0.94,0.2,0.5,1e-06,0.06,8.908000000000003,1.5762791630926305
0.94,0.2,0.5,1e-06,0.08,9.138000000000003,1.6039314199802939
0.94,0.2,0.5,1e-06,0.1,9.388000000000003,1.4613062649561204
0.94,0.2,0.5,1e-07,0.02,10.596000000000007,1.7348613777475135
0.94,0.2,0.5,1e-07,0.04,10.425000000000008,1.1477260126005673
0.94,0.2,0.5,1e-07,0.06,10.229000000000005,1.3828589949810504
0.94,0.2,0.5,1e-07,0.08,9.864000000000003,1.0584063491873055
0.94,0.2,0.5,1e-07,0.1,10.037000000000008,0.8060341183845771
0.94,0.2,0.6,1e-06,0.02,9.062000000000005,1.5170352665643634
0.94,0.2,0.6,1e-06,0.04,9.314000000000004,1.8162389710608025
0.94,0.2,0.6,1e-06,0.06,9.254000000000003,0.8814102336596725
0.94,0.2,0.6,1e-06,0.08,9.733000000000004,1.5860677791317759
0.94,0.2,0.6,1e-06,0.1,9.609000000000005,1.2241482753326915
0.94,0.2,0.6,1e-07,0.02,10.841000000000006,1.6471973166563882
0.94,0.2,0.6,1e-07,0.04,10.327000000000002,1.656288320311411
0.94,0.2,0.6,1e-07,0.06,10.171000000000003,1.0767260561535592
0.94,0.2,0.6,1e-07,0.08,10.605000000000006,1.08441458861452
0.94,0.2,0.6,1e-07,0.1,10.147000000000004,1.2117140751844067
0.94,0.2,0.7,1e-06,0.02,9.602000000000004,1.0546449639570692
0.94,0.2,0.7,1e-06,0.04,9.898000000000007,0.8011217135991251
0.94,0.2,0.7,1e-06,0.06,9.393000000000006,1.0979485415992865
0.94,0.2,0.7,1e-06,0.08,9.476000000000004,0.9071626094587489
0.94,0.2,0.7,1e-06,0.1,9.642000000000005,1.450281352014151
0.94,0.2,0.7,1e-07,0.02,10.468000000000004,1.066684583182865
0.94,0.2,0.7,1e-07,0.04,10.592000000000006,1.256382107481637
0.94,0.2,0.7,1e-07,0.06,10.372000000000003,1.3566635544599843
0.94,0.2,0.7,1e-07,0.08,10.656000000000002,1.0164172371619813
0.94,0.2,0.7,1e-07,0.1,10.393000000000004,0.9727748968800549
0.94,0.4,0.3,1e-06,0.02,8.824000000000005,1.2500975961899952
0.94,0.4,0.3,1e-06,0.04,8.590000000000002,1.4027758195805897
0.94,0.4,0.3,1e-06,0.06,8.711000000000002,1.6187584748812907
0.94,0.4,0.3,1e-06,0.08,9.066000000000006,2.1180660990630105
0.94,0.4,0.3,1e-06,0.1,9.249000000000004,1.7123139314973768
0.94,0.4,0.3,1e-07,0.02,9.814000000000004,1.1540381276197056
0.94,0.4,0.3,1e-07,0.04,9.553,1.9419812048524072
0.94,0.4,0.3,1e-07,0.06,9.082000000000004,0.8536252104993173
0.94,0.4,0.3,1e-07,0.08,9.313000000000004,1.4948749111547757
0.94,0.4,0.3,1e-07,0.1,9.331000000000001,1.3320131380733446
0.94,0.4,0.4,1e-06,0.02,9.548000000000005,1.3395730663162808
0.94,0.4,0.4,1e-06,0.04,9.480000000000006,1.4753711397475588
0.94,0.4,0.4,1e-06,0.06,9.414000000000001,1.5051790591155605
0.94,0.4,0.4,1e-06,0.08,9.242000000000003,1.5941129194633603
0.94,0.4,0.4,1e-06,0.1,9.849000000000006,1.4428509971580548
0.94,0.4,0.4,1e-07,0.02,9.885000000000002,1.1226731492291089
0.94,0.4,0.4,1e-07,0.04,10.496000000000004,1.160199982761592
0.94,0.4,0.4,1e-07,0.06,10.204000000000006,1.5967917835459968
0.94,0.4,0.4,1e-07,0.08,10.071000000000005,0.9790296216151991
0.94,0.4,0.4,1e-07,0.1,9.873000000000005,0.9122779181806369
0.94,0.4,0.5,1e-06,0.02,9.082000000000004,1.5014779385658639
0.94,0.4,0.5,1e-06,0.04,9.484000000000004,1.8111719962499435
0.94,0.4,0.5,1e-06,0.06,9.407000000000005,1.7641459690173038
0.94,0.4,0.5,1e-06,0.08,9.767000000000007,1.5978645124039816
0.94,0.4,0.5,1e-06,0.1,9.283000000000005,1.1425633461651057
0.94,0.4,0.5,1e-07,0.02,10.567,1.7002032231471584
0.94,0.4,0.5,1e-07,0.04,9.850000000000003,0.8882679775833419
0.94,0.4,0.5,1e-07,0.06,9.804000000000004,1.2899860464361637
0.94,0.4,0.5,1e-07,0.08,10.980000000000008,1.252325836194402
0.94,0.4,0.5,1e-07,0.1,10.472000000000005,1.2588947533451706
0.94,0.4,0.6,1e-06,0.02,10.051000000000004,0.966467278287267
0.94,0.4,0.6,1e-06,0.04,9.864000000000004,1.0514104812108342
0.94,0.4,0.6,1e-06,0.06,9.933000000000009,1.8754335498758663
0.94,0.4,0.6,1e-06,0.08,9.146000000000008,1.1008741980807812
0.94,0.4,0.6,1e-06,0.1,9.928000000000004,0.9678098986887869
0.94,0.4,0.6,1e-07,0.02,10.894000000000004,1.2031309155698702
0.94,0.4,0.6,1e-07,0.04,10.464000000000006,1.0753715636932195
0.94,0.4,0.6,1e-07,0.06,10.779000000000005,1.4601571833196596
0.94,0.4,0.6,1e-07,0.08,11.129000000000007,1.4298877578327625
0.94,0.4,0.6,1e-07,0.1,10.546000000000003,1.023818343262126
0.94,0.4,0.7,1e-06,0.02,9.038000000000002,1.5610112107220746
0.94,0.4,0.7,1e-06,0.04,9.847000000000005,1.1630696453781277
0.94,0.4,0.7,1e-06,0.06,9.243000000000006,1.8654358739983496
0.94,0.4,0.7,1e-06,0.08,9.140000000000004,1.1525450099670713
0.94,0.4,0.7,1e-06,0.1,10.194,1.5375968262194113
0.94,0.4,0.7,1e-07,0.02,9.998000000000005,1.0063577892578774
0.94,0.4,0.7,1e-07,0.04,10.540000000000003,1.182810213009681
0.94,0.4,0.7,1e-07,0.06,9.844000000000005,0.9842885755712087
0.94,0.4,0.7,1e-07,0.08,10.574000000000002,1.4990010006667756
0.94,0.4,0.7,1e-07,0.1,10.304000000000006,1.1137611952299313
0.94,0.6,0.3,1e-06,0.02,8.673000000000005,1.7611277636787195
0.94,0.6,0.3,1e-06,0.04,8.925,1.3956342644117037
0.94,0.6,0.3,1e-06,0.06,8.100000000000003,2.0336174664867532
0.94,0.6,0.3,1e-06,0.08,8.802000000000008,1.5262621006891326
0.94,0.6,0.3,1e-06,0.1,8.741000000000003,1.663580175404843
0.94,0.6,0.3,1e-07,0.02,9.575000000000006,1.4488184841449232
0.94,0.6,0.3,1e-07,0.04,10.046000000000003,1.5816080424681696
0.94,0.6,0.3,1e-07,0.06,9.144000000000004,1.939614394667145
0.94,0.6,0.3,1e-07,0.08,10.036000000000003,2.1088632008738717
0.94,0.6,0.3,1e-07,0.1,9.134000000000006,1.9877535058452294
0.94,0.6,0.4,1e-06,0.02,8.320000000000004,1.7189648047589605
0.94,0.6,0.4,1e-06,0.04,9.600000000000005,1.0664333078069135
0.94,0.6,0.4,1e-06,0.06,8.842000000000004,1.7596465554195817
0.94,0.6,0.4,1e-06,0.08,9.635000000000003,1.4828738988868881
0.94,0.6,0.4,1e-06,0.1,8.813000000000002,1.5696404046787302
0.94,0.6,0.4,1e-07,0.02,9.659000000000004,0.9931661492419074
