reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.3,1e-08,1.0,0.1908232658612697,0.11581698806295902
300,gold,0.3,0.01,0.3,0.3,1e-08,1.0,2.257798757233913,0.7983090293450018
300,gold,0.3,0.01,0.5,0.3,1e-08,1.0,2.893323199189269,0.7501148633601008
300,gold,0.3,0.01,0.7,0.3,1e-08,1.0,3.1151206763207733,0.6614050280503673
300,gold,0.3,0.01,0.9,0.3,1e-08,1.0,3.3026252766888025,0.5814216598599078
300,gold,0.3,0.01,1.0,0.3,1e-08,1.0,3.246207963303732,0.5492112879257094
300,gold,0.3,0.03,0.1,0.3,1e-08,1.0,0.227328586286904,0.1727167990146881
300,gold,0.3,0.03,0.3,0.3,1e-08,1.0,2.3053662959703454,0.7055701027016247
300,gold,0.3,0.03,0.5,0.3,1e-08,1.0,2.627276848814573,0.7104881411404439
300,gold,0.3,0.03,0.7,0.3,1e-08,1.0,3.080274688641758,0.5261852603504475
300,gold,0.3,0.03,0.9,0.3,1e-08,1.0,3.2661199562631684,0.5127684242616427
300,gold,0.3,0.03,1.0,0.3,1e-08,1.0,3.3037314985198822,0.5009124041292777
300,gold,0.3,0.05,0.1,0.3,1e-08,1.0,0.2439219137531013,0.23160029442980656
300,gold,0.3,0.05,0.3,0.3,1e-08,1.0,2.212443662159641,0.7334968164076727
300,gold,0.3,0.05,0.5,0.3,1e-08,1.0,2.637232845294291,0.6375802395674571
300,gold,0.3,0.05,0.7,0.3,1e-08,1.0,3.122311118222792,0.5347255380003397
300,gold,0.3,0.05,0.9,0.3,1e-08,1.0,3.168219324212605,0.5320386518233654
300,gold,0.3,0.05,1.0,0.3,1e-08,1.0,3.314793716830681,0.622307792467503
300,gold,0.3,0.07,0.1,0.3,1e-08,1.0,0.24724057924634082,0.2312909863169005
300,gold,0.3,0.07,0.3,0.3,1e-08,1.0,2.1715134544096864,0.6970347560439789
300,gold,0.3,0.07,0.5,0.3,1e-08,1.0,2.7976350108008656,0.5788923422374029
300,gold,0.3,0.07,0.7,0.3,1e-08,1.0,3.1344795583646694,0.6267703437978395
300,gold,0.3,0.07,0.9,0.3,1e-08,1.0,3.235698855908474,0.522255047219549
300,gold,0.3,0.07,1.0,0.3,1e-08,1.0,3.344661706269835,0.5936096533811527
300,gold,0.3,0.09,0.1,0.3,1e-08,1.0,0.2356252500200033,0.17724076599694202
300,gold,0.3,0.09,0.3,0.3,1e-08,1.0,2.4624497959836797,0.8188724445731688
