reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.7,1e-08,1.0,0.3976867482731962,0.2110022089227246
300,gold,0.3,0.01,0.3,0.7,1e-08,1.0,2.648848174520629,0.4530815753768294
300,gold,0.3,0.01,0.5,0.7,1e-08,1.0,3.49732031895885,0.6344018242967805
300,gold,0.3,0.01,0.7,0.7,1e-08,1.0,3.783278662292985,0.5580557480664553
300,gold,0.3,0.01,0.9,0.7,1e-08,1.0,3.9066223964583835,0.6421951207099638
300,gold,0.3,0.01,1.0,0.7,1e-08,1.0,3.9381497186441576,0.6114865688676401
300,gold,0.3,0.03,0.1,0.7,1e-08,1.0,0.37445608982051953,0.19401582523205732
300,gold,0.3,0.03,0.3,0.7,1e-08,1.0,2.7506205829799737,0.6302360915222865
300,gold,0.3,0.03,0.5,0.7,1e-08,1.0,3.4464341147291786,0.7369523722972332
300,gold,0.3,0.03,0.7,0.7,1e-08,1.0,3.732945568978851,0.5711011492246799
300,gold,0.3,0.03,0.9,0.7,1e-08,1.0,3.8065093207456604,0.6781590960341043
300,gold,0.3,0.03,1.0,0.7,1e-08,1.0,3.8463333066645333,0.5783657389444906
300,gold,0.3,0.05,0.1,0.7,1e-08,1.0,0.3213574419286885,0.18224899751921014
300,gold,0.3,0.05,0.3,0.7,1e-08,1.0,2.787679014321147,0.8144715523657502
300,gold,0.3,0.05,0.5,0.7,1e-08,1.0,3.3468741499319945,0.6772998432078806
300,gold,0.3,0.05,0.7,0.7,1e-08,1.0,3.597986505587115,0.43113035630749336
300,gold,0.3,0.05,0.9,0.7,1e-08,1.0,3.7771944422220445,0.5371641102172113
300,gold,0.3,0.05,1.0,0.7,1e-08,1.0,3.8844979598367866,0.6927768865605098
300,gold,0.3,0.07,0.1,0.7,1e-08,1.0,0.31748566551990837,0.16239622829427278
300,gold,0.3,0.07,0.3,0.7,1e-08,1.0,2.7268368136117567,0.7003397717168285
300,gold,0.3,0.07,0.5,0.7,1e-08,1.0,3.4884705443102115,0.5298736174052086
300,gold,0.3,0.07,0.7,0.7,1e-08,1.0,3.8839448489212476,0.5473775203826314
300,gold,0.3,0.07,0.9,0.7,1e-08,1.0,3.9940139211136887,0.7737800302724963
300,gold,0.3,0.07,1.0,0.7,1e-08,1.0,3.7346049017254717,0.7901274127377548
300,gold,0.3,0.09,0.1,0.7,1e-08,1.0,0.2477936901618804,0.10183251146373153
300,gold,0.3,0.09,0.3,0.7,1e-08,1.0,2.7080310424834,0.5799662697047446
300,gold,0.3,0.09,0.5,0.7,1e-08,1.0,3.705290023201857,0.645921070515764
300,gold,0.3,0.09,0.7,0.7,1e-08,1.0,3.893347734485426,0.6710147315357416
300,gold,0.3,0.09,0.9,0.7,1e-08,1.0,3.9071755073739225,0.6947134751398292
300,gold,0.3,0.09,1.0,0.7,1e-08,1.0,3.9962263647758496,0.6719933425684131
300,gold,0.3,0.1,0.1,0.7,1e-08,1.0,0.22069125530042433,0.08005599831835124
300,gold,0.3,0.1,0.3,0.7,1e-08,1.0,2.720752593540817,0.7138279417825755
300,gold,0.3,0.1,0.5,0.7,1e-08,1.0,3.416013014374484,0.7339896471907968
300,gold,0.3,0.1,0.7,0.7,1e-08,1.0,3.7777475531375844,0.5306810277446203
300,gold,0.3,0.1,0.9,0.7,1e-08,1.0,3.9597210443502155,0.5328755070671822
300,gold,0.3,0.1,1.0,0.7,1e-08,1.0,3.8225495372963176,0.4633567644988529
300,gold,0.5,0.01,0.1,0.7,1e-08,1.0,0.13495906339173988,0.037037787124017514
300,gold,0.5,0.01,0.3,0.7,1e-08,1.0,2.663229058324667,0.5544216182060343
300,gold,0.5,0.01,0.5,0.7,1e-08,1.0,3.5830525108675366,0.6627219792146457
300,gold,0.5,0.01,0.7,0.7,1e-08,1.0,3.7218833506680538,0.8571022523845552
300,gold,0.5,0.01,0.9,0.7,1e-08,1.0,3.774428887644346,0.6401632236418164
300,gold,0.5,0.01,1.0,0.7,1e-08,1.0,3.878966850681388,0.6590244024829954
300,gold,0.5,0.03,0.1,0.7,1e-08,1.0,0.13772461796943947,0.04135035896877825
300,gold,0.5,0.03,0.3,0.7,1e-08,1.0,2.723518148118517,0.5180686159961903
300,gold,0.5,0.03,0.5,0.7,1e-08,1.0,3.335811931621197,0.5242805880355408
300,gold,0.5,0.03,0.7,0.7,1e-08,1.0,3.671550257353922,0.6049162459129933
300,gold,0.5,0.03,0.9,0.7,1e-08,1.0,3.8374835320158946,0.7208705405455206
300,gold,0.5,0.03,1.0,0.7,1e-08,1.0,3.996779475691389,0.6536694659721873
300,gold,0.5,0.05,0.1,0.7,1e-08,1.0,0.13385284156066038,0.03531256925811507
300,gold,0.5,0.05,0.3,0.7,1e-08,1.0,2.7467488065711927,0.6782285650816691
300,gold,0.5,0.05,0.5,0.7,1e-08,1.0,3.393888577752888,0.6479438825241423
300,gold,0.5,0.05,0.7,0.7,1e-08,1.0,3.6035176147425116,0.3926249954352043
300,gold,0.5,0.05,0.9,0.7,1e-08,1.0,4.088595887671015,0.8828273999280899
300,gold,0.5,0.05,1.0,0.7,1e-08,1.0,4.031072352454864,0.7529414197278582
300,gold,0.5,0.07,0.1,0.7,1e-08,1.0,0.13385284156066,0.035828610771223825
300,gold,0.5,0.07,0.3,0.7,1e-08,1.0,2.954718510814199,1.0036328256746099
300,gold,0.5,0.07,0.5,0.7,1e-08,1.0,3.6892498066511994,0.7637177985848788
300,gold,0.5,0.07,0.7,0.7,1e-08,1.0,3.708608688695095,0.45407846018775555
300,gold,0.5,0.07,0.9,0.7,1e-08,1.0,4.0509843454143,0.7510594527686918
300,gold,0.5,0.07,1.0,0.7,1e-08,1.0,3.9801861482251915,0.6897814272174382
300,gold,0.5,0.09,0.1,0.7,1e-08,1.0,0.13551217430727905,0.04370976289267931
300,gold,0.5,0.09,0.3,0.7,1e-08,1.0,2.7362396991759343,0.7153802814226617
300,gold,0.5,0.09,0.5,0.7,1e-08,1.0,3.392782355921807,0.6490053678379412
300,gold,0.5,0.09,0.7,0.7,1e-08,1.0,3.9099410619516233,0.7469514614428805
300,gold,0.5,0.09,0.9,0.7,1e-08,1.0,3.789915993279462,0.5868285252543208
300,gold,0.5,0.09,1.0,0.7,1e-08,1.0,3.790469104195003,0.6092814874999709
300,gold,0.5,0.1,0.1,0.7,1e-08,1.0,0.13385284156065957,0.037333962505419004
300,gold,0.5,0.1,0.3,0.7,1e-08,1.0,2.778829239672507,0.6326205945364511
300,gold,0.5,0.1,0.5,0.7,1e-08,1.0,3.2959879457023233,0.5479900163371599
300,gold,0.5,0.1,0.7,0.7,1e-08,1.0,3.780513107715284,0.8554187108336365
300,gold,0.5,0.1,0.9,0.7,1e-08,1.0,3.7998719897591813,0.5938155100732208
300,gold,0.5,0.1,1.0,0.7,1e-08,1.0,3.8269744246206367,0.5902730136741824
300,gold,0.7,0.01,0.1,0.7,1e-08,1.0,0.13385284156065957,0.03261009869159409
300,gold,0.7,0.01,0.3,0.7,1e-08,1.0,1.7434056057817968,1.176316993158862
300,gold,0.7,0.01,0.5,0.7,1e-08,1.0,3.437031229165001,0.8032579812400704
300,gold,0.7,0.01,0.7,0.7,1e-08,1.0,3.5504189668506814,0.5561691841006078
300,gold,0.7,0.01,0.9,0.7,1e-08,1.0,3.6953340267221377,0.7107440829683609
300,gold,0.7,0.01,1.0,0.7,1e-08,1.0,3.822549537296317,0.5947650309063877
300,gold,0.7,0.03,0.1,0.7,1e-08,1.0,0.1338528415606598,0.03582861077122428
300,gold,0.7,0.03,0.3,0.7,1e-08,1.0,1.726259167400059,1.121603246094789
300,gold,0.7,0.03,0.5,0.7,1e-08,1.0,3.2368050777395525,0.8137492907624315
