tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.7, 0.5]",4.39688888888889,1.5176646126675064,"{'200': 0.7412838716723863, '400': 3.462602574015789, '600': 4.464990382309231, '800': 5.7877322876516075, '1000': 6.146921954860359}","{'200': 1.137329577030815, '400': 6.847343730886885, '600': 7.533591165830292, '800': 8.826975011020112, '1000': 9.245042942101254}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.7, 0.5]",4.162666666666667,1.387471561270116,"{'200': 0.6473267176645091, '400': 5.013809377290507, '600': 5.767123632182755, '800': 6.7107114504331715, '1000': 7.462244093773371}","{'200': 0.9276427530135356, '400': 10.933605955622605, '600': 11.097822605502996, '800': 11.067007316173346, '1000': 11.564757661981306}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.7, 0.5]",4.788000000000001,2.0478906220792163,"{'200': 1.0676752886274423, '400': 3.104962231978097, '600': 5.136386438467769, '800': 6.108055835534013, '1000': 6.730623235428993}","{'200': 3.869438114610601, '400': 8.414639487546944, '600': 10.465096843282735, '800': 11.47713494229056, '1000': 12.06079585223048}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.7, 0.5]",4.367555555555555,1.354802413729365,"{'200': 0.4895255002544399, '400': 1.9299399464601037, '600': 4.1900284037399675, '800': 5.0714191782642635, '1000': 5.56103195964151}","{'200': 0.483354993347023, '400': 2.812224417836342, '600': 6.907128702960781, '800': 9.303336632997382, '1000': 10.682562112812471}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.7, 0.5]",4.698222222222222,1.6027022859171167,"{'200': 0.4334516514247593, '400': 1.93985277276889, '600': 4.01871500128014, '800': 4.814469281161027, '1000': 5.897092670888448}","{'200': 0.46857343444252963, '400': 3.4599887508325207, '600': 7.621892993084587, '800': 9.678309826430011, '1000': 11.118171088765397}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.7, 0.5]",4.179555555555557,1.696749776033324,"{'200': 1.909112861423561, '400': 7.31890000194497, '600': 9.9527431316093, '800': 11.038152317060458, '1000': 12.275289824990233}","{'200': 8.253820409194303, '400': 17.96252787924484, '600': 20.98724754833205, '800': 22.778207279327464, '1000': 24.58230794054678}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.7, 0.5]",4.307111111111113,1.6082020633437861,"{'200': 0.8766041764493366, '400': 4.95898743089759, '600': 6.228371256611963, '800': 6.729924236956849, '1000': 8.290010950269897}","{'200': 1.9678720538876242, '400': 12.038563072494338, '600': 13.77893600039667, '800': 14.743760219996908, '1000': 16.16857135825036}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.7, 0.5]",4.189777777777778,1.2811635143951308,"{'200': 1.033306165765206, '400': 3.667694145992676, '600': 4.38412068616926, '800': 5.191119246493093, '1000': 6.142834472410728}","{'200': 3.198957893133538, '400': 8.26717272762895, '600': 9.325080817680323, '800': 10.73121337764816, '1000': 11.860910923782239}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.7, 0.5]",4.213777777777778,1.7470881029605159,"{'200': 0.5112594870116496, '400': 2.5685155535022646, '600': 4.026229129108042, '800': 6.1390690497576035, '1000': 7.131774721254544}","{'200': 0.45642142157928023, '400': 6.274942474836523, '600': 8.332048825430272, '800': 11.067088423215216, '1000': 12.96114271764331}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.7, 0.5]",3.9791111111111124,1.3790170770390888,"{'200': 0.6433676479677966, '400': 4.15143340999267, '600': 6.321559212924118, '800': 7.723885240476181, '1000': 9.116095551032998}","{'200': 0.5900924832948545, '400': 9.624907997637923, '600': 13.233461447241408, '800': 14.962773465309299, '1000': 16.192503569233377}"
