tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.5, 0.3]",4.208888888888889,1.3912715562426612,"{'200': 1.6719171423383332, '400': 3.6248386980620757, '600': 5.207153489399668, '800': 6.632453847216203, '1000': 6.904151187132819}","{'200': 7.390088700041711, '400': 8.622389392851463, '600': 9.56631913459211, '800': 11.22560901295647, '1000': 11.644182727619086}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.5, 0.3]",4.301333333333334,1.6346057628676098,"{'200': 0.770571362345587, '400': 3.958536369058421, '600': 6.799161671386463, '800': 8.87174030867487, '1000': 11.170880507604275}","{'200': 1.1299187024247141, '400': 9.27013389430575, '600': 12.346774542824942, '800': 14.365746897928156, '1000': 17.377570387514925}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.5, 0.3]",4.355111111111111,1.7316717962352286,"{'200': 2.021589034214807, '400': 5.671035923793985, '600': 9.171099462213647, '800': 11.675237130337415, '1000': 15.692646153575243}","{'200': 10.127889872110291, '400': 14.560088917086462, '600': 18.184223444249504, '800': 21.74077055499237, '1000': 24.49234736006789}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.5, 0.3]",3.929333333333333,1.0164478453035461,"{'200': 0.5732008230055793, '400': 3.7547086071012084, '600': 5.780226060409994, '800': 11.390267686062304, '1000': 14.382484918084666}","{'200': 0.501490734494005, '400': 9.907464239484726, '600': 14.637183751230456, '800': 22.405571521754304, '1000': 26.699938019437088}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.5, 0.3]",4.068,1.2583403531813022,"{'200': 0.4882930569837074, '400': 5.07175532170881, '600': 9.150397382424883, '800': 13.995129369536661, '1000': 16.00087277636408}","{'200': 0.4225054563997902, '400': 16.820107648127863, '600': 23.043933879329735, '800': 28.872606769483557, '1000': 32.3965274049887}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.5, 0.3]",4.403111111111112,1.8275518806707542,"{'200': 0.5790543782685668, '400': 2.323988459187323, '600': 5.60447357880608, '800': 6.730728172025457, '1000': 7.520566438617098}","{'200': 0.5594297502249632, '400': 5.950345022235759, '600': 13.69895220324101, '800': 16.415400579226127, '1000': 17.705631045124537}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.5, 0.3]",4.2106666666666674,1.487665434311238,"{'200': 3.36744396423265, '400': 8.779065909685007, '600': 9.881726682698698, '800': 11.279445071965823, '1000': 11.899248779286854}","{'200': 13.272878582982361, '400': 19.117425741490752, '600': 19.80576249305945, '800': 20.389580069148224, '1000': 21.00531813871187}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.5, 0.3]",4.039111111111112,1.2948579024952203,"{'200': 0.62393243055971, '400': 4.119173418811439, '600': 4.381186786826006, '800': 5.1848378235613755, '1000': 6.134375828438137}","{'200': 0.6049587894320418, '400': 9.042195072783006, '600': 8.429517266566783, '800': 9.220109201252054, '1000': 10.104069541908288}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.5, 0.3]",4.312444444444445,1.6376041518097992,"{'200': 2.94113657934311, '400': 7.109046277541692, '600': 9.144259544724381, '800': 10.637765789529963, '1000': 11.473040799593672}","{'200': 11.510270027430279, '400': 18.06701272786884, '600': 19.80350397939254, '800': 21.558025228454706, '1000': 22.76151883834838}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.5, 0.3]",4.482222222222222,1.6553172087936483,"{'200': 2.8177387403910714, '400': 9.49212943138273, '600': 12.734032753778218, '800': 14.72368478381993, '1000': 15.897369427915681}","{'200': 11.637168162193117, '400': 21.7788003169822, '600': 25.228361100950842, '800': 26.997705233900316, '1000': 28.845975862131613}"
0.01,0.2,"[0.5, 0.1]","[0.7, 0.5, 0.3]",3.9524444444444446,1.1070705197964892,"{'200': 0.6223159116164975, '400': 2.140495104099314, '600': 3.535556068589727, '800': 4.297596597561986, '1000': 5.764783518954153}","{'200': 0.5723289726573456, '400': 3.121822367368083, '600': 6.05009699551604, '800': 7.300754690697162, '1000': 9.775639416021177}"
0.01,0.2,"[0.5, 0.3]","[0.7, 0.5, 0.3]",3.7884444444444463,1.1101030093455397,"{'200': 0.5558883264158659, '400': 3.103023162525805, '600': 6.583385407690329, '800': 7.967327157759375, '1000': 8.864389898112256}","{'200': 0.44168120989095094, '400': 5.854328969972174, '600': 12.472454079990758, '800': 16.24106684093774, '1000': 18.260071577830807}"
0.01,0.2,"[0.5, 0.5]","[0.7, 0.5, 0.3]",4.527111111111112,1.6356155786087554,"{'200': 0.5105056277766153, '400': 2.2019637247269777, '600': 3.061452434148655, '800': 3.878414121861123, '1000': 4.498647550788632}","{'200': 0.47461813960255383, '400': 4.402045234753617, '600': 7.154821306795491, '800': 8.757021719028721, '1000': 10.428844814084034}"
0.01,0.2,"[0.5, 0.7]","[0.7, 0.5, 0.3]",4.078666666666669,1.2906528924884837,"{'200': 0.5658081104208746, '400': 4.113631335624713, '600': 7.072564666752486, '800': 8.02695221169865, '1000': 8.900842141174053}","{'200': 0.7314771170700388, '400': 9.052691079598459, '600': 15.154901197157663, '800': 17.43475812559585, '1000': 19.500646448707915}"
0.01,0.2,"[0.5, 0.9]","[0.7, 0.5, 0.3]",4.118666666666668,1.3803986541736575,"{'200': 0.8635200570222763, '400': 5.249404915909618, '600': 6.70534830360569, '800': 8.608016520302963, '1000': 9.684705690290311}","{'200': 1.2022749895817129, '400': 11.428067594001854, '600': 14.754191251309589, '800': 17.190708768193424, '1000': 19.03617935071549}"
