tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.1, 0.5]",2.831111111111112,1.5033210971005682,"{'200': 7.01269493187836, '400': 13.370693112808624, '600': 14.796644091713834, '800': 17.23800063218287, '1000': 19.264195760920398}","{'200': 12.649441514546341, '400': 18.340846186365013, '600': 19.584305012708928, '800': 20.55143001266157, '1000': 20.907508228215484}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.1, 0.5]",2.7800000000000007,0.9534498763263154,"{'200': 5.238612424092913, '400': 9.856022243059966, '600': 14.460429266759652, '800': 18.50611927333877, '1000': 21.540393046151795}","{'200': 13.083587329828072, '400': 17.72590918962453, '600': 19.964946257896134, '800': 21.536168878916044, '1000': 23.033499892365935}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.1, 0.5]",2.8462222222222233,1.2010648773093704,"{'200': 9.086199953139856, '400': 15.666573341933452, '600': 21.173342027200555, '800': 25.140643513864333, '1000': 27.949359927188663}","{'200': 24.69985312979024, '400': 31.8097953292026, '600': 32.90696524042647, '800': 31.888411727230107, '1000': 32.58373164920066}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.1, 0.5]",2.771555555555557,1.38887317324442,"{'200': 3.7253715555625675, '400': 12.264675073990892, '600': 21.359326697012122, '800': 26.97357298884802, '1000': 30.57897672783497}","{'200': 10.460010566268972, '400': 22.822931685042935, '600': 30.160572786527368, '800': 34.421483073390625, '1000': 36.948204628060296}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.1, 0.5]",2.931111111111113,1.445929493013208,"{'200': 6.173405472631109, '400': 16.318961264196016, '600': 22.765186098641017, '800': 26.75532862864928, '1000': 28.899181704626297}","{'200': 18.896787379963218, '400': 32.00502009364425, '600': 36.75895759439337, '800': 40.65346632786979, '1000': 41.7994848553444}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.1, 0.5]",3.3391111111111123,1.314378302083405,"{'200': 1.449645314389533, '400': 4.804184214238783, '600': 8.195169702542008, '800': 10.852855582971213, '1000': 14.049387853836835}","{'200': 2.5564426517345273, '400': 8.531814285942646, '600': 12.652816376509422, '800': 16.150919406508148, '1000': 18.705689277122495}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.1, 0.5]",3.294666666666667,1.0839548986107406,"{'200': 1.1080939058248256, '400': 6.572230416685064, '600': 9.627284647071358, '800': 13.079157394820877, '1000': 15.268842268009818}","{'200': 1.5256625341677423, '400': 14.5920766318075, '600': 18.704566661853395, '800': 23.180872745603132, '1000': 25.440892486446494}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.1, 0.5]",3.6880000000000006,1.4656869455044692,"{'200': 1.9727764617399164, '400': 8.111026415044462, '600': 13.643268855308884, '800': 17.734805753065334, '1000': 19.641641191845054}","{'200': 5.562183996693442, '400': 18.3330774363389, '600': 23.4316549166341, '800': 28.086267631612444, '1000': 30.895240051620892}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.1, 0.5]",3.3448888888888897,1.2907545118559698,"{'200': 5.036006772280281, '400': 11.29732183159739, '600': 16.140201697556652, '800': 21.73532064836051, '1000': 24.109320453646998}","{'200': 19.25585039333931, '400': 26.983387450564514, '600': 30.196003041188856, '800': 34.92563351837606, '1000': 38.42683413206377}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.1, 0.5]",3.500444444444445,1.4216953190634463,"{'200': 7.43795265922316, '400': 12.3668905453312, '600': 16.8383232839152, '800': 18.84702891032622, '1000': 21.49999980366123}","{'200': 37.21947246493067, '400': 42.51467114946495, '600': 42.584241903685786, '800': 40.267960592715816, '1000': 41.22679888011296}"
