tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.3, 0.5]",4.16088888888889,1.6087812118663998,"{'200': 0.6675759889697849, '400': 1.5994479376807071, '600': 3.6818259047973774, '800': 7.093109637979696, '1000': 8.709991565085463}","{'200': 0.5961709585747703, '400': 0.6058614972013193, '600': 6.84736751974357, '800': 14.160197652815036, '1000': 17.96472410291742}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.3, 0.5]",4.042666666666667,1.2307872819189074,"{'200': 0.6258247162705779, '400': 2.6848425533857014, '600': 6.6652961338156125, '800': 10.6548610774852, '1000': 12.63820248441811}","{'200': 0.6210201564793673, '400': 7.084736340454915, '600': 15.598613430205699, '800': 21.733093745235383, '1000': 24.462713026952752}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.3, 0.5]",3.771555555555556,1.3579689990825028,"{'200': 0.6517983747964555, '400': 1.550119833338135, '600': 3.9523813464245148, '800': 6.398367023970383, '1000': 9.554806084166028}","{'200': 0.5156654789329599, '400': 0.5174825437300588, '600': 9.676207865662473, '800': 15.285446708013069, '1000': 18.27252820942438}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.3, 0.5]",3.6360000000000015,1.2074700824451097,"{'200': 5.095512489310151, '400': 6.778863089220202, '600': 8.726077712896988, '800': 12.4201421622255, '1000': 14.604033514677306}","{'200': 21.160372230151765, '400': 17.87781109219226, '600': 19.434372900042167, '800': 23.1520613717011, '1000': 26.208841462185255}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.3, 0.5]",3.737777777777779,1.3213274283233154,"{'200': 3.041020401450091, '400': 8.180981534040388, '600': 11.010245158328697, '800': 15.435836614636678, '1000': 19.47962137787913}","{'200': 15.510036532361612, '400': 23.900268914298888, '600': 28.349907781578185, '800': 32.00413705660538, '1000': 35.30752987664418}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.3, 0.5]",4.122222222222224,1.3114688777412715,"{'200': 0.5881748494001089, '400': 1.5026470407327477, '600': 2.828629838735119, '800': 5.121016017496318, '1000': 7.4764600269598755}","{'200': 0.5297292428300325, '400': 0.5547249314392086, '600': 4.547994833140044, '800': 9.821058646272169, '1000': 14.2410163788519}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.3, 0.5]",4.490666666666669,1.6389568498150144,"{'200': 1.5129250525685356, '400': 2.936857288200019, '600': 3.4739049182888873, '800': 4.213273458128581, '1000': 5.1899021491476205}","{'200': 7.1818997097449175, '400': 10.656771034147992, '600': 11.119204879501284, '800': 11.932961922131335, '1000': 13.320873192747676}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.3, 0.5]",4.812444444444446,1.7015772494372594,"{'200': 0.44085058520341774, '400': 2.117326102445441, '600': 3.839371764936944, '800': 4.9182066255413615, '1000': 5.759469259906766}","{'200': 0.4240179856163965, '400': 4.966699442539956, '600': 7.630157539389124, '800': 11.132873791661536, '1000': 13.864260876590818}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.3, 0.5]",3.949333333333334,1.062839801872533,"{'200': 0.5855118128053385, '400': 2.173692925950366, '600': 3.8950021476976433, '800': 4.775455271700139, '1000': 5.963962928927606}","{'200': 0.5181759903083092, '400': 3.1114233193380443, '600': 6.6995203587248735, '800': 8.148598715754076, '1000': 9.727903609263754}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.3, 0.5]",4.342666666666667,1.2940176883558343,"{'200': 0.561488338380758, '400': 5.002852632341287, '600': 6.744126820885193, '800': 7.225033997345326, '1000': 9.217447860357318}","{'200': 0.5133774340846728, '400': 12.508233372425302, '600': 16.25387575604834, '800': 17.440419183926533, '1000': 19.10465215887427}"
