tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.3, 0.3]",4.014222222222223,1.2505971709349963,"{'200': 1.1713118370187914, '400': 3.3384750826303615, '600': 5.320047296572735, '800': 8.557128321301608, '1000': 11.127202119540618}","{'200': 3.6913876228422176, '400': 7.844838194629335, '600': 10.364992253551998, '800': 13.137708468480398, '1000': 17.016399237405682}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.3, 0.3]",3.8151111111111113,1.2053374303437416,"{'200': 0.7291803595831003, '400': 3.0122585817606313, '600': 7.232430425632892, '800': 9.635424225297065, '1000': 10.798662578825196}","{'200': 0.6299317138322096, '400': 6.791960263317188, '600': 14.996728267894978, '800': 19.320330345419425, '1000': 21.019125979335954}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.3, 0.3]",4.076444444444446,1.5919647616920223,"{'200': 2.807409546150694, '400': 6.512771476102255, '600': 12.290246773728752, '800': 15.09750701802663, '1000': 18.155935053761922}","{'200': 13.946696332714009, '400': 18.396238110407445, '600': 25.794572496176055, '800': 28.426224540966984, '1000': 32.28970565471589}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.3, 0.3]",3.414666666666666,0.9591329417760609,"{'200': 0.7260539361514738, '400': 1.7572380871497737, '600': 5.770484478729809, '800': 12.311211551948361, '1000': 15.827877201333356}","{'200': 0.5045456824408723, '400': 0.4363133165577692, '600': 14.02231278449616, '800': 22.885721805295667, '1000': 28.083885982618472}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.3, 0.3]",3.809777777777779,1.1402504381618952,"{'200': 0.7052126373372511, '400': 2.509292690184076, '600': 5.1059815344612955, '800': 6.14428566123635, '1000': 7.537181882581121}","{'200': 0.534865382210863, '400': 5.169254832325956, '600': 15.060656824042576, '800': 18.099977813602298, '1000': 20.581120603028655}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.3, 0.3]",4.247111111111111,1.6166036031991708,"{'200': 0.6068193330961899, '400': 1.6645617374887898, '600': 2.0730978480580444, '800': 2.6356140994603594, '1000': 2.886704876563388}","{'200': 0.5351226807939048, '400': 1.0777095866352764, '600': 1.1053364734747628, '800': 3.1260898474509333, '1000': 3.7566849508864935}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.3, 0.3]",4.228888888888889,1.5162852593276506,"{'200': 2.728905176468494, '400': 5.6314602353727965, '600': 9.256657961173204, '800': 11.667832247216719, '1000': 13.320607383743175}","{'200': 14.968885963660686, '400': 17.193424524174638, '600': 20.50764625196163, '800': 22.92632207539984, '1000': 25.60251072647179}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.3, 0.3]",4.338222222222222,1.6519877439535804,"{'200': 2.949993594924168, '400': 6.940739396482181, '600': 8.46017449939627, '800': 9.088395601415243, '1000': 10.70033477930178}","{'200': 16.414087789236714, '400': 20.318367098506286, '600': 23.059971724289, '800': 24.27974475991087, '1000': 26.192746468596024}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.3, 0.3]",4.265333333333334,1.785026112476291,"{'200': 0.5815115994073196, '400': 2.528876720056452, '600': 3.8466514345089644, '800': 5.3541602696970765, '1000': 6.844157606603629}","{'200': 0.5535725333346398, '400': 6.899129231642332, '600': 11.151235656748755, '800': 12.422242468148049, '1000': 14.388892225806797}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.3, 0.3]",3.9924444444444442,1.1521210498815857,"{'200': 0.5736217671018145, '400': 1.9675045714612305, '600': 2.917490689742514, '800': 5.467288718310165, '1000': 6.262433327920451}","{'200': 0.48341432243280114, '400': 2.776132947019903, '600': 4.551100614151265, '800': 10.71787328291621, '1000': 13.09923213929634}"
