tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.7, 0.1, 0.7]",2.816444444444445,1.0987531429469506,"{'200': 6.453280287364431, '400': 12.75462359195995, '600': 15.506813561387625, '800': 17.4315318505796, '1000': 19.417454810272236}","{'200': 12.87903828151327, '400': 21.75331893789757, '600': 26.510409472282834, '800': 27.534539408178986, '1000': 29.92401406595448}"
0.01,0.2,"[0.1, 0.3]","[0.7, 0.1, 0.7]",2.7191111111111113,1.233596048095382,"{'200': 4.222805789740231, '400': 12.46978419599782, '600': 17.8423199915799, '800': 22.04605777184416, '1000': 26.86978233819897}","{'200': 8.788029293366323, '400': 19.99980863302247, '600': 24.24015481907051, '800': 28.57128966275773, '1000': 31.94044706745889}"
0.01,0.2,"[0.1, 0.5]","[0.7, 0.1, 0.7]",2.672000000000001,1.0081481372629058,"{'200': 5.8386765974609105, '400': 19.593288355804606, '600': 27.305314663410705, '800': 32.577625004906885, '1000': 39.02269895419038}","{'200': 13.652282611386044, '400': 36.67603423327793, '600': 45.75271187124747, '800': 49.36321797081489, '1000': 53.969260887633176}"
0.01,0.2,"[0.1, 0.7]","[0.7, 0.1, 0.7]",2.9493333333333354,1.124171596233323,"{'200': 7.173421365855507, '400': 21.358942212677515, '600': 27.24345276314074, '800': 33.58751687841308, '1000': 36.39140991987954}","{'200': 24.341981004068277, '400': 37.112189136746856, '600': 42.24591528468586, '800': 44.81614305801779, '1000': 47.609494072146056}"
0.01,0.2,"[0.1, 0.9]","[0.7, 0.1, 0.7]",2.9444444444444455,1.3302490252339236,"{'200': 3.1374126804062934, '400': 15.636290785634023, '600': 24.597811497209875, '800': 30.564081604980068, '1000': 34.578457737459864}","{'200': 10.39010943599029, '400': 25.46327403456134, '600': 36.50206386412257, '800': 40.94702608430108, '1000': 43.96274065965671}"
0.01,0.2,"[0.3, 0.1]","[0.7, 0.1, 0.7]",3.2831111111111118,0.93614771441791,"{'200': 1.5281807342813833, '400': 6.484505287560486, '600': 11.814461099485888, '800': 14.358944267964828, '1000': 16.10203611768274}","{'200': 4.205662050219138, '400': 15.00415803683992, '600': 19.892411431114727, '800': 22.68241409791441, '1000': 24.95828319816828}"
0.01,0.2,"[0.3, 0.3]","[0.7, 0.1, 0.7]",3.4400000000000004,1.784805000242012,"{'200': 2.126488058583623, '400': 9.29653305473396, '600': 14.182397967602894, '800': 17.339432793043947, '1000': 19.56645749283207}","{'200': 6.904641946391598, '400': 20.04469584805737, '600': 26.495100151123605, '800': 30.102609528795906, '1000': 32.83414400225931}"
0.01,0.2,"[0.3, 0.5]","[0.7, 0.1, 0.7]",3.468,1.4777123460869437,"{'200': 4.170982766986778, '400': 8.416618925238689, '600': 13.5532503740539, '800': 16.799812077606266, '1000': 18.82678350229056}","{'200': 13.070197958934855, '400': 18.780588728536323, '600': 23.88583125982113, '800': 27.886260184907595, '1000': 30.298084663978994}"
0.01,0.2,"[0.3, 0.7]","[0.7, 0.1, 0.7]",3.198222222222223,1.0372769669537834,"{'200': 3.1274778717771365, '400': 8.312948799577484, '600': 13.495369453858684, '800': 18.90889352676492, '1000': 22.86788464439566}","{'200': 10.432184893111192, '400': 19.650979791518, '600': 25.61016637972759, '800': 30.13860800063329, '1000': 34.37971334970514}"
0.01,0.2,"[0.3, 0.9]","[0.7, 0.1, 0.7]",3.536,1.3834167043150007,"{'200': 3.00498828088602, '400': 11.459362343911168, '600': 16.52483158247879, '800': 18.82991466552069, '1000': 20.797296033694966}","{'200': 12.006297566460157, '400': 25.889905605064108, '600': 34.694775125573706, '800': 36.94995635977997, '1000': 38.65790178216041}"
0.01,0.2,"[0.5, 0.1]","[0.7, 0.1, 0.7]",4.052444444444446,1.3764320309417635,"{'200': 0.6494091928956396, '400': 2.3748726771788307, '600': 2.9223002569851024, '800': 3.9494703177956665, '1000': 5.66516527730149}","{'200': 0.6154121957583178, '400': 5.2232696784796095, '600': 6.70838259646182, '800': 8.354489489285564, '1000': 10.924089921125702}"
0.01,0.2,"[0.5, 0.3]","[0.7, 0.1, 0.7]",3.631111111111112,1.1982472796588672,"{'200': 0.7128479768193196, '400': 5.411463973014297, '600': 10.738417676049696, '800': 14.17916497913857, '1000': 16.456789203023476}","{'200': 0.5791782813712701, '400': 12.795828554164187, '600': 21.764355002616263, '800': 26.725546857694294, '1000': 30.47578873521975}"
0.01,0.2,"[0.5, 0.5]","[0.7, 0.1, 0.7]",3.2631111111111117,0.8854874921564007,"{'200': 6.404530880361441, '400': 11.479742077802078, '600': 15.5379268663504, '800': 18.319618494159375, '1000': 20.382677166897594}","{'200': 29.18764239629428, '400': 36.3367200088061, '600': 41.73820958676758, '800': 45.34923195304312, '1000': 48.659868458432264}"
