tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.7, 0.3]","[0.3, 0.1, 0.1]",3.2448888888888896,1.420254472069037,"{'200': 0.9118805313647683, '400': 1.765937331403951, '600': 2.0229064581055605, '800': 8.273797812269466, '1000': 13.412295928465927}","{'200': 0.5992306703962191, '400': 0.47448641710115214, '600': 0.3311824134273228, '800': 23.151990824646383, '1000': 37.51335390099649}"
0.01,0.2,"[0.7, 0.5]","[0.3, 0.1, 0.1]",3.472444444444446,1.412712372322682,"{'200': 0.8357833577245772, '400': 1.8056638747353058, '600': 1.9716627897042873, '800': 3.0589288974719047, '1000': 6.402481760516405}","{'200': 0.5569239193766843, '400': 0.47798458212415346, '600': 0.35484583302966455, '800': 6.337104355326102, '1000': 19.53751064299705}"
0.01,0.2,"[0.7, 0.7]","[0.3, 0.1, 0.1]",3.387555555555557,1.311916588736673,"{'200': 0.9498625910509353, '400': 1.8068953673222465, '600': 5.368804281247047, '800': 7.194778268943663, '1000': 19.289475456371818}","{'200': 0.6364790644368952, '400': 0.46250502289746914, '600': 22.277260460852137, '800': 31.283786309271296, '1000': 71.21331916968543}"
0.01,0.2,"[0.7, 0.9]","[0.3, 0.1, 0.1]",3.4417777777777783,1.2726442967981428,"{'200': 0.8914663150240209, '400': 9.578931200969413, '600': 16.007061291650917, '800': 20.11229404020076, '1000': 22.414586881402847}","{'200': 0.6510577734935726, '400': 51.84668595740122, '600': 73.10626185823723, '800': 82.36630816600433, '1000': 88.45992353406228}"
0.01,0.2,"[0.9, 0.1]","[0.3, 0.1, 0.1]",2.9168888888888898,1.3071832690045535,"{'200': 1.0836709280230556, '400': 1.870731493233612, '600': 2.0895909399763157, '800': 2.197812298413008, '1000': 2.282314725644352}","{'200': 0.680221148452145, '400': 0.40756448600285333, '600': 0.29275416082477584, '800': 0.25594658276934756, '1000': 0.2528088097877805}"
0.01,0.2,"[0.9, 0.3]","[0.3, 0.1, 0.1]",3.229777777777779,1.0318365264342753,"{'200': 0.9815469964182622, '400': 1.74782466625023, '600': 2.0455153960565693, '800': 2.6905074701201412, '1000': 3.9404665724378125}","{'200': 0.629206425119625, '400': 0.4263947710501784, '600': 0.29435897017275137, '800': 3.5388294687951936, '1000': 11.214742274069346}"
0.01,0.2,"[0.9, 0.5]","[0.3, 0.1, 0.1]",3.345333333333334,0.9310772733177884,"{'200': 0.84622628672407, '400': 1.7709593961372176, '600': 14.203478239792227, '800': 23.31574519445579, '1000': 37.2772988011585}","{'200': 0.5498983500453087, '400': 0.4525409015229924, '600': 52.391558756049896, '800': 75.26538703587131, '1000': 99.74757306117284}"
0.01,0.2,"[0.9, 0.7]","[0.3, 0.1, 0.1]",3.236444444444444,1.3671725170431217,"{'200': 0.9169433495931725, '400': 1.766604866156835, '600': 2.02749779384361, '800': 8.142443093723228, '1000': 14.21807887068524}","{'200': 0.5930107990194252, '400': 0.48998895631354294, '600': 0.323141167525709, '800': 34.37162092607553, '1000': 57.84787633529761}"
0.01,0.2,"[0.9, 0.9]","[0.3, 0.1, 0.1]",3.108000000000001,1.1636677647278306,"{'200': 0.9003499144043137, '400': 3.2951391247598907, '600': 7.3602637831733775, '800': 8.79164002905747, '1000': 9.650498963528841}","{'200': 0.612101220312898, '400': 9.92826451303849, '600': 35.5032406687041, '800': 44.11788453078797, '1000': 49.16771105679427}"
0.01,0.45,"[0.1, 0.1]","[0.3, 0.1, 0.1]",3.8622222222222224,1.5582567024137208,"{'200': 0.7679087060610885, '400': 1.6240250228469333, '600': 1.9385911638290863, '800': 2.0999847854790636, '1000': 3.088655207447292}","{'200': 0.613498305625574, '400': 0.5443265168405013, '600': 0.41157968981600673, '800': 0.33074220121930364, '1000': 5.77939538887985}"
