reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,3,0.005,10.5036,1.5085226680431414
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,3,0.01,10.7718,1.9333635871196082
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,5,0.005,9.958200000000003,1.4238723116909051
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,5,0.01,9.6966,1.3085900962486303
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,7,0.005,9.765000000000002,1.299484897949953
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.02,7,0.01,9.530400000000004,1.4125870734223782
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,3,0.005,10.237800000000002,1.4382340421503026
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,3,0.01,9.783,1.2791382255252952
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,5,0.005,9.648000000000003,1.4778865991678793
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,5,0.01,10.144800000000002,1.1313550105957015
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,7,0.005,9.703200000000002,1.3622479069537963
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.04,7,0.01,9.902400000000002,1.5561395310189892
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,3,0.005,10.2858,1.501978814764043
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,3,0.01,10.1358,1.4824203047718956
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,5,0.005,9.846000000000002,1.6133128648839314
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,5,0.01,9.844199999999999,1.177584799494286
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,7,0.005,10.1958,1.3018757083531438
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.05,0.06,7,0.01,9.705000000000002,1.3988913467456998
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.1,0.02,3,0.005,10.263000000000005,0.9458719786525028
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.1,0.02,3,0.01,10.049399999999999,1.369184881599268
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.1,0.02,5,0.005,9.7524,1.4965380850482881
300,3,0.98,0.8,0.3,1e-08,6,0.2,0.1,0.02,5,0.01,9.915000000000001,1.1056951659476495
