reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,3,0.005,5.866200000000001,2.524403367134499
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,3,0.01,5.9466,1.9584986188404627
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,5,0.005,5.6568000000000005,2.3500488845979355
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,5,0.01,5.382000000000002,2.2714307385434402
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,7,0.005,6.037800000000002,2.150472403915009
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.02,7,0.01,6.021000000000001,1.8882320302335724
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,3,0.005,4.668,2.251609024675465
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,3,0.01,4.506600000000001,1.7931619112617805
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,5,0.005,5.763599999999999,2.7127594511861903
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,5,0.01,5.452200000000001,2.494124367388282
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,7,0.005,5.4018,1.8396631104634351
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.04,7,0.01,4.824600000000001,2.0886230966835546
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,3,0.005,4.6986,2.3858454350607032
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,3,0.01,4.5498,2.0840480704628668
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,5,0.005,4.9134,1.866589199583026
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,5,0.01,5.459400000000002,2.0392824326218277
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,7,0.005,5.931600000000002,1.2389678930464654
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.05,0.06,7,0.01,6.3834,1.2053862617435132
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,3,0.005,5.9094000000000015,2.176324065942387
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,3,0.01,5.281200000000001,1.7968328135917373
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,5,0.005,5.1882,1.6915191870032094
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,5,0.01,5.385000000000002,1.9219644637713775
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,7,0.005,5.7132000000000005,1.6322642433135632
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.02,7,0.01,5.574000000000001,2.2933692245253487
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,3,0.005,4.606200000000001,1.8157551486915842
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,3,0.01,4.870800000000001,2.1701790156574634
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,5,0.005,5.7294,1.9481574987664627
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,5,0.01,5.8296,1.7571462773485875
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,7,0.005,4.6092,2.6360708943425637
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.04,7,0.01,4.426800000000001,2.1053944428538798
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,3,0.005,3.9786000000000006,2.377174633887885
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,3,0.01,3.7584,1.9344063275330747
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,5,0.005,4.524,2.3936947173773016
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,5,0.01,4.0722,2.03290421810768
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,7,0.005,3.0582000000000003,1.1132904203306522
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.1,0.06,7,0.01,3.842400000000001,1.1259402470824105
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,3,0.005,4.9992,1.7582842091084134
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,3,0.01,4.579200000000001,1.4630549408685916
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,5,0.005,5.541600000000001,1.6482846356136431
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,5,0.01,5.166000000000001,1.5796645213462257
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,7,0.005,6.0072,1.824587668488418
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.02,7,0.01,5.636399999999999,2.3438724879992936
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,3,0.005,3.8604000000000007,1.8119407937347178
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,3,0.01,4.182,2.0984703000042675
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,5,0.005,3.9702,1.548123367177177
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,5,0.01,4.088400000000001,1.5897898729077373
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,7,0.005,6.052200000000001,1.8562337029587632
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.04,7,0.01,5.7084,1.4838867342219892
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,3,0.005,5.102400000000001,1.7139537450001385
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,3,0.01,4.585200000000001,1.403622513356066
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,5,0.005,3.2256,1.096488139470737
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,5,0.01,3.948000000000001,1.1182654425493086
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,7,0.005,4.6668,2.190593015601027
300,3,0.92,0.2,0.3,1e-08,6,0.2,0.2,0.06,7,0.01,3.5340000000000003,1.2583474877791105
300,3,0.92,0.2,0.3,1e-08,6,0.3,0.05,0.02,3,0.005,5.099400000000001,1.7209427765036236
300,3,0.92,0.2,0.3,1e-08,6,0.3,0.05,0.02,3,0.01,6.0546,2.098831303368615
