reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,3,0.005,8.0082,1.571111313688499
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,3,0.01,8.644200000000001,1.2727046633056702
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,5,0.005,8.498999999999999,1.1237448998771917
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,5,0.01,8.187,1.2450318068226212
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,7,0.005,8.6274,1.1612641559955252
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.02,7,0.01,8.4276,1.190628002358419
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,3,0.005,8.407800000000002,1.8730632557391116
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,3,0.01,8.2518,1.6540271944560037
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,5,0.005,7.455,2.1205909082140284
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,5,0.01,8.227200000000002,1.6470274314655478
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,7,0.005,8.0802,1.3128599163657946
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.04,7,0.01,8.6052,1.1313581926162912
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,3,0.005,6.5754,2.223414860074476
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,3,0.01,7.0836,1.6522243915400836
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,5,0.005,7.382400000000001,2.3028828541634505
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,5,0.01,7.6866,1.7477526255165512
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,7,0.005,8.4354,1.39709442773207
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.05,0.06,7,0.01,8.586000000000002,1.2047097575764878
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,3,0.005,8.637,1.481048074844298
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,3,0.01,8.478,1.5749468562462672
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,5,0.005,8.624400000000001,1.1935573048664236
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,5,0.01,8.6754,1.3526652357475593
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,7,0.005,8.1078,1.1210949825951413
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.02,7,0.01,8.473799999999999,1.4014876239196692
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,3,0.005,8.5446,1.325254405765172
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,3,0.01,8.6256,1.1577456715531262
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,5,0.005,7.9014,1.422914769056812
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,5,0.01,8.280000000000001,1.2446840562970187
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,7,0.005,7.442999999999999,1.1422060234476088
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.04,7,0.01,7.408799999999999,2.4339638781214483
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,3,0.005,7.737,1.3457700397913452
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,3,0.01,8.1294,1.1894035648172576
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,5,0.005,7.74,2.2161696685948935
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,5,0.01,7.9037999999999995,1.7170172858768775
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,7,0.005,6.8268,1.8577065860894175
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.1,0.06,7,0.01,7.4892,1.2158813099969918
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,3,0.005,8.641200000000001,1.3078866005889045
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,3,0.01,8.762399999999998,1.3455558851270353
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,5,0.005,8.268,1.2007527638943833
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,5,0.01,8.3328,1.1070700790826207
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,7,0.005,8.6298,1.4322894819134853
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.02,7,0.01,8.599799999999998,1.2420668097972825
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,3,0.005,7.9944,2.0255438380839847
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,3,0.01,7.531199999999999,1.722632915046035
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,5,0.005,7.454999999999999,1.5611240181356507
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,5,0.01,8.4072,2.0723044563963087
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,7,0.005,7.539,1.957100763885192
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.04,7,0.01,7.857,1.7278796833113121
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,3,0.005,8.583,1.5927785156763004
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,3,0.01,7.852199999999999,1.5655563739450586
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,5,0.005,6.0438,1.9224678826966137
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,5,0.01,8.109599999999999,1.5957229834780218
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,7,0.005,7.771199999999999,2.5938490626865707
300,3,0.95,0.4,0.3,1e-08,6,0.2,0.2,0.06,7,0.01,7.095000000000001,1.4737598854630287
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,3,0.005,9.126,1.3979793989898428
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,3,0.01,8.7294,1.3305436633196221
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,5,0.005,7.342199999999999,1.8660271059124518
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,5,0.01,8.0712,1.3941856978179057
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,7,0.005,8.337,1.7425145623494793
300,3,0.95,0.4,0.3,1e-08,6,0.3,0.05,0.02,7,0.01,8.697000000000001,1.8998093062199692
