reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.04,7,0.01,9.427200000000001,1.237609049740668
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,3,0.005,9.15,2.090865275430246
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,3,0.01,9.4854,1.5676920743564409
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,5,0.005,8.9766,1.3952740375997825
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,5,0.01,8.539800000000001,1.3489490576000267
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,7,0.005,9.031200000000002,1.1645775886560754
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.2,0.06,7,0.01,9.3858,1.4359870333676417
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,3,0.005,9.378000000000004,1.2641075903577197
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,3,0.01,9.344400000000002,1.3881235679866548
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,5,0.005,9.176400000000001,1.5588207850808249
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,5,0.01,9.3888,1.6283292541743508
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,7,0.005,9.290400000000002,1.3651290927967217
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.02,7,0.01,9.657,1.4043518789819023
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,3,0.005,9.478200000000003,1.3815019218227673
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,3,0.01,9.42,1.7862212628899035
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,5,0.005,9.3636,1.6355876742015385
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,5,0.01,9.586800000000002,1.6030890680183683
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,7,0.005,8.455199999999998,2.6003113967369367
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.04,7,0.01,8.580600000000002,1.9607949510338916
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,3,0.005,9.037200000000002,1.2864391785078686
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,3,0.01,9.162600000000001,1.2654267422494285
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,5,0.005,9.3732,2.2037270611398316
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,5,0.01,9.424800000000001,1.3992890194666714
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,7,0.005,9.429,1.7013957211654203
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.05,0.06,7,0.01,9.2472,1.3262220628537291
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,3,0.005,9.637200000000002,1.3828530507613592
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,3,0.01,9.726600000000001,1.3076351325962456
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,5,0.005,9.302400000000002,1.3381512022189417
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,5,0.01,9.835200000000004,1.4917327374566807
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,7,0.005,9.3054,1.2086432227915727
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.02,7,0.01,9.466200000000002,1.466805631295435
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,3,0.005,9.358800000000002,1.2129910799342258
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,3,0.01,9.207,1.3698126149222016
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,5,0.005,9.595799999999999,1.4859785866559452
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,5,0.01,9.1704,1.2280937423503155
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,7,0.005,9.6498,1.41855037273972
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.04,7,0.01,9.223800000000002,1.6021192090478158
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,3,0.005,9.6396,1.2026616481787387
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,3,0.01,9.571200000000003,1.6026937823551943
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,5,0.005,9.606600000000002,1.272784993626182
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,5,0.01,9.3534,1.6001685036270394
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,7,0.005,8.7894,1.1936967956730047
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.1,0.06,7,0.01,9.1158,1.314120679389834
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,3,0.005,9.615000000000002,1.2735478789586205
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,3,0.01,9.0492,1.2763843308345644
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,5,0.005,9.364800000000002,1.2056232247265313
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,5,0.01,9.259800000000002,1.4204625866245117
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,7,0.005,8.9796,1.2573463484656882
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.02,7,0.01,9.046199999999999,1.7296160151894993
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,3,0.005,9.536400000000004,1.3725036393394376
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,3,0.01,9.529800000000002,1.7009868782562672
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,5,0.005,9.577200000000001,1.6258556393480943
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,5,0.01,9.811800000000002,1.8357608667797662
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,7,0.005,8.892,1.2512438611238015
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.04,7,0.01,8.5782,1.5006983574322994
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,3,0.005,9.131400000000003,1.4791805974930847
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,3,0.01,9.2268,1.4416910071162958
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,5,0.005,9.205800000000004,1.1877607334812852
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,5,0.01,9.800400000000002,1.5676042357687099
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,7,0.005,9.0282,1.3517882822394933
300,3,0.98,0.6,0.3,1e-08,6,0.3,0.2,0.06,7,0.01,9.476400000000002,1.3039898159111516
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,3,0.005,9.210600000000001,1.1566420535325521
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,3,0.01,9.7218,1.033596613771543
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.05,0.02,5,0.005,9.528600000000003,1.244636187807505
