cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[25, 30, 45, 95, 105]",0.98,0.2,0.6,1.00E-07,10.245,1.437370864
"[25, 45, 55, 65, 110]",0.95,0.6,0.3,1.00E-07,10.243,1.286099141
"[25, 50, 65, 70, 90]",0.96,0.4,0.6,1.00E-07,10.241,1.609080172
"[25, 45, 55, 65, 110]",0.92,0.4,0.4,1.00E-07,10.239,1.284312657
"[10, 20, 30, 60, 180]",0.92,0.4,0.5,1.00E-06,10.238,1.256405985
"[25, 45, 55, 65, 110]",0.96,0.2,0.7,1.00E-07,10.235,0.894871499
"[25, 50, 65, 70, 90]",0.92,0.2,0.6,1.00E-07,10.234,1.175246357
"[10, 20, 30, 60, 180]",0.92,0.4,0.6,1.00E-07,10.23,1.934678268
"[25, 30, 45, 95, 105]",0.96,0.4,0.4,1.00E-07,10.225,1.267183886
"[25, 30, 45, 95, 105]",0.94,0.2,0.7,1.00E-07,10.216,1.220632623
"[25, 45, 55, 65, 110]",0.94,0.2,0.4,1.00E-07,10.215,1.238836147
"[10, 20, 30, 60, 180]",0.92,0.4,0.3,1.00E-06,10.213,1.686407721
"[25, 30, 45, 95, 105]",0.95,0.2,0.7,1.00E-07,10.209,1.177174159
"[25, 30, 45, 95, 105]",0.92,0.2,0.7,1.00E-06,10.207,1.691653333
"[10, 20, 30, 60, 180]",0.92,0.2,0.6,1.00E-07,10.201,1.242569515
"[25, 45, 55, 65, 110]",0.94,0.4,0.4,1.00E-07,10.2,1.04049988
"[25, 30, 45, 95, 105]",0.95,0.2,0.6,1.00E-07,10.199,0.870987371
"[25, 30, 45, 95, 105]",0.98,0.2,0.7,1.00E-07,10.197,1.082280463
"[25, 50, 65, 70, 90]",0.92,0.4,0.4,1.00E-06,10.196,1.213171051
"[10, 20, 30, 60, 180]",0.92,0.4,0.4,1.00E-06,10.193,1.274837637
"[10, 20, 25, 55, 190]",0.92,0.2,0.5,1.00E-07,10.19,1.242634299
"[25, 50, 65, 70, 90]",0.98,0.4,0.6,1.00E-07,10.187,1.178002971
"[10, 20, 25, 55, 190]",0.96,0.2,0.7,1.00E-07,10.186,1.345884096
"[25, 50, 65, 70, 90]",0.94,0.4,0.5,1.00E-07,10.181,0.702323999
"[25, 50, 65, 70, 90]",0.99,0.4,0.6,1.00E-07,10.179,1.395298893
"[10, 20, 30, 60, 180]",0.95,0.2,0.7,1.00E-07,10.178,1.131916958
"[25, 45, 55, 65, 110]",0.94,0.6,0.3,1.00E-07,10.176,1.512238076
"[25, 30, 45, 95, 105]",0.94,0.4,0.6,1.00E-07,10.175,1.362716038
"[25, 45, 55, 65, 110]",0.94,0.4,0.6,1.00E-07,10.172,1.023179359
"[10, 20, 30, 60, 180]",0.92,0.6,0.3,1.00E-07,10.172,1.189393123
"[25, 30, 45, 95, 105]",0.94,0.6,0.3,1.00E-07,10.17,1.225585574
"[10, 20, 25, 55, 190]",0.95,0.4,0.4,1.00E-07,10.168,0.967541214
"[25, 45, 55, 65, 110]",0.94,0.4,0.5,1.00E-07,10.165,1.258218979
"[25, 30, 45, 95, 105]",0.92,0.2,0.4,1.00E-07,10.163,1.649779076
"[25, 50, 65, 70, 90]",0.92,0.4,0.5,1.00E-06,10.161,1.413527149
"[25, 50, 65, 70, 90]",0.92,0.6,0.3,1.00E-07,10.159,1.024567714
"[10, 20, 30, 60, 180]",0.94,0.2,0.6,1.00E-07,10.159,1.500219651
"[10, 20, 25, 55, 190]",0.92,0.2,0.4,1.00E-07,10.157,1.215241128
"[25, 50, 65, 70, 90]",0.98,0.4,0.5,1.00E-07,10.151,1.18558804
"[25, 30, 45, 95, 105]",0.94,0.4,0.4,1.00E-07,10.141,1.321869509
"[25, 45, 55, 65, 110]",0.98,0.4,0.4,1.00E-07,10.136,1.188841453
"[25, 45, 55, 65, 110]",0.96,0.4,0.4,1.00E-07,10.135,1.061392953
"[10, 20, 30, 60, 180]",0.96,0.4,0.3,1.00E-07,10.131,0.967480749
"[25, 30, 45, 95, 105]",0.92,0.6,0.3,1.00E-07,10.13,1.280382755
"[25, 30, 45, 95, 105]",0.96,0.4,0.6,1.00E-07,10.13,1.797748592
"[25, 50, 65, 70, 90]",0.95,0.2,0.5,1.00E-07,10.126,0.949970526
"[25, 45, 55, 65, 110]",0.94,0.2,0.5,1.00E-07,10.125,1.087453447
"[25, 50, 65, 70, 90]",0.98,0.4,0.4,1.00E-07,10.119,1.499126079
"[25, 50, 65, 70, 90]",0.92,0.2,0.5,1.00E-07,10.117,1.064373525
"[25, 30, 45, 95, 105]",0.96,0.4,0.5,1.00E-07,10.102,1.123083256
"[25, 45, 55, 65, 110]",0.96,0.6,0.3,1.00E-07,10.094,1.158725162
"[10, 20, 25, 55, 190]",0.95,0.4,0.3,1.00E-07,10.094,1.742665774
"[25, 30, 45, 95, 105]",0.98,0.4,0.4,1.00E-07,10.088,1.195698959
"[25, 45, 55, 65, 110]",0.92,0.2,0.5,1.00E-07,10.084,1.308703175
"[10, 20, 25, 55, 190]",0.98,0.4,0.5,1.00E-07,10.083,1.932886701
"[25, 30, 45, 95, 105]",0.96,0.2,0.6,1.00E-07,10.081,0.873303498
"[25, 30, 45, 95, 105]",0.99,0.4,0.4,1.00E-07,10.081,1.155395603
"[25, 50, 65, 70, 90]",0.95,0.2,0.6,1.00E-07,10.079,0.961529511
"[25, 50, 65, 70, 90]",0.94,0.6,0.3,1.00E-07,10.076,1.467904629
"[25, 45, 55, 65, 110]",0.99,0.4,0.4,1.00E-07,10.076,1.241202643
"[10, 20, 30, 60, 180]",0.94,0.6,0.3,1.00E-07,10.073,1.897053241
"[25, 50, 65, 70, 90]",0.99,0.4,0.5,1.00E-07,10.072,1.143755219
"[10, 20, 30, 60, 180]",0.96,0.2,0.7,1.00E-07,10.07,1.318157805
"[10, 20, 25, 55, 190]",0.96,0.4,0.3,1.00E-07,10.066,1.817647931
"[10, 20, 25, 55, 190]",0.95,0.4,0.6,1.00E-07,10.061,1.209652429
"[25, 30, 45, 95, 105]",0.95,0.4,0.4,1.00E-07,10.057,0.974869735
"[25, 30, 45, 95, 105]",0.95,0.4,0.5,1.00E-07,10.048,1.051768035
"[10, 20, 25, 55, 190]",0.95,0.2,0.7,1.00E-07,10.035,1.048806465
"[25, 30, 45, 95, 105]",0.92,0.4,0.3,1.00E-07,10.021,1.331742843
"[10, 20, 25, 55, 190]",0.94,0.2,0.7,1.00E-07,10.017,1.322153924
"[25, 45, 55, 65, 110]",0.98,0.4,0.6,1.00E-07,10.016,1.149218865
"[25, 45, 55, 65, 110]",0.99,0.4,0.6,1.00E-07,10.016,1.185337083
"[10, 20, 25, 55, 190]",0.94,0.4,0.3,1.00E-07,10.016,1.081861359
"[25, 50, 65, 70, 90]",0.92,0.2,0.4,1.00E-07,10.014,0.985882346
"[25, 45, 55, 65, 110]",0.92,0.2,0.7,1.00E-06,10.007,1.00399751
"[10, 20, 30, 60, 180]",0.98,0.4,0.4,1.00E-07,10.005,1.115327306
"[25, 30, 45, 95, 105]",0.95,0.6,0.3,1.00E-07,10.004,1.231041835
"[25, 50, 65, 70, 90]",0.94,0.2,0.5,1.00E-07,10,1.096156923
"[10, 20, 30, 60, 180]",0.96,0.2,0.5,1.00E-07,9.999,1.150469035
"[25, 50, 65, 70, 90]",0.94,0.2,0.6,1.00E-07,9.994,0.850178805
"[10, 20, 25, 55, 190]",0.92,0.2,0.7,1.00E-06,9.977,1.118056796
"[10, 20, 30, 60, 180]",0.94,0.2,0.5,1.00E-07,9.975,1.111555217
"[10, 20, 25, 55, 190]",0.92,0.2,0.6,1.00E-07,9.974,1.335171899
"[25, 30, 45, 95, 105]",0.98,0.4,0.5,1.00E-07,9.971,0.807130101
"[25, 50, 65, 70, 90]",0.95,0.4,0.6,1.00E-07,9.97,0.989595877
