spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.95,0.05,1.0,1e-07,0.7,10.809333333333335,1.5766608879386697
0.95,0.1,0.2,1e-07,0.3,4.387555555555557,2.6366385633188796
0.95,0.1,0.2,1e-07,0.5,5.388444444444445,2.055005764312603
0.95,0.1,0.2,1e-07,0.7,7.723555555555557,1.902439551447977
0.95,0.1,0.4,1e-07,0.3,8.234666666666667,2.700239989334281
0.95,0.1,0.4,1e-07,0.5,8.681777777777778,1.8403131241888504
0.95,0.1,0.4,1e-07,0.7,8.944,1.983095672035125
0.95,0.1,0.6,1e-07,0.3,9.650222222222224,1.9602295657951097
0.95,0.1,0.6,1e-07,0.5,9.971111111111112,1.6470933620198576
0.95,0.1,0.6,1e-07,0.7,10.99777777777778,2.347034903768194
0.95,0.1,0.8,1e-07,0.3,9.598222222222224,2.269526909966421
0.95,0.1,0.8,1e-07,0.5,10.115555555555556,2.18357866871545
0.95,0.1,0.8,1e-07,0.7,9.930222222222223,1.8426002024782364
0.95,0.1,1.0,1e-07,0.3,9.668888888888892,2.0342426624856103
0.95,0.1,1.0,1e-07,0.5,10.695555555555558,2.002411385810791
0.95,0.1,1.0,1e-07,0.7,10.239555555555555,1.981539194728914
0.98,0.01,0.2,1e-07,0.3,5.376888888888889,2.7920839069071466
0.98,0.01,0.2,1e-07,0.5,6.726222222222224,2.5365236831265205
0.98,0.01,0.2,1e-07,0.7,8.102666666666668,2.5989693683800463
0.98,0.01,0.4,1e-07,0.3,9.429333333333334,2.1969943104159375
0.98,0.01,0.4,1e-07,0.5,10.236444444444446,1.8423043005438784
0.98,0.01,0.4,1e-07,0.7,10.947555555555557,1.6858115824011957
0.98,0.01,0.6,1e-07,0.3,10.511111111111113,1.9379785828678089
0.98,0.01,0.6,1e-07,0.5,10.91777777777778,2.1926674661890595
0.98,0.01,0.6,1e-07,0.7,9.890666666666668,2.0353830106395208
0.98,0.01,0.8,1e-07,0.3,10.772444444444446,2.131629690120324
0.98,0.01,0.8,1e-07,0.5,10.776888888888893,2.105235613335077
0.98,0.01,0.8,1e-07,0.7,10.408888888888889,1.7966811653369503
0.98,0.01,1.0,1e-07,0.3,10.557777777777776,2.036808929989249
0.98,0.01,1.0,1e-07,0.5,10.486666666666666,1.9196434854188706
0.98,0.01,1.0,1e-07,0.7,9.999555555555556,2.267244980691133
0.98,0.05,0.2,1e-07,0.3,4.172444444444445,2.703069165519123
0.98,0.05,0.2,1e-07,0.5,5.870666666666667,2.82426501746718
0.98,0.05,0.2,1e-07,0.7,7.163999999999999,2.0215224185966596
0.98,0.05,0.4,1e-07,0.3,7.7635555555555555,2.520745176909713
0.98,0.05,0.4,1e-07,0.5,8.93688888888889,1.7271374161661222
0.98,0.05,0.4,1e-07,0.7,9.549777777777779,1.9334649252789535
0.98,0.05,0.6,1e-07,0.3,9.830666666666666,2.057383883587223
0.98,0.05,0.6,1e-07,0.5,9.843111111111112,2.1401181921901435
0.98,0.05,0.6,1e-07,0.7,11.03777777777778,1.9121934919398937
0.98,0.05,0.8,1e-07,0.3,9.753777777777778,2.2177458915543444
0.98,0.05,0.8,1e-07,0.5,9.885333333333335,2.0930122896066434
0.98,0.05,0.8,1e-07,0.7,10.918222222222225,1.835050455120923
0.98,0.05,1.0,1e-07,0.3,9.88177777777778,1.918364220879501
0.98,0.05,1.0,1e-07,0.5,10.116444444444445,1.999912393142988
0.98,0.05,1.0,1e-07,0.7,10.28,1.6428592960648412
0.98,0.1,0.2,1e-07,0.3,4.551111111111113,2.939489163648996
0.98,0.1,0.2,1e-07,0.5,5.094666666666668,1.9088258170928019
0.98,0.1,0.2,1e-07,0.7,7.607111111111111,1.9876827627748095
0.98,0.1,0.4,1e-07,0.3,7.679111111111114,2.15734798328588
0.98,0.1,0.4,1e-07,0.5,9.039555555555555,1.8978045275242015
0.98,0.1,0.4,1e-07,0.7,9.106666666666667,1.6242331523932556
0.98,0.1,0.6,1e-07,0.3,9.342222222222224,2.7567395305879323
0.98,0.1,0.6,1e-07,0.5,10.064444444444447,1.8883261906961772
0.98,0.1,0.6,1e-07,0.7,10.52977777777778,1.8311799339817167
0.98,0.1,0.8,1e-07,0.3,9.28488888888889,1.9303156013946665
0.98,0.1,0.8,1e-07,0.5,10.405333333333333,1.7537028761388795
0.98,0.1,0.8,1e-07,0.7,10.631555555555558,2.204925753908034
0.98,0.1,1.0,1e-07,0.3,9.785777777777778,1.8006992331855594
0.98,0.1,1.0,1e-07,0.5,10.595555555555556,1.9505845910684263
0.98,0.1,1.0,1e-07,0.7,10.18666666666667,2.133149992121719
