spectral_radius,input_scale,leaking_rate,ridge_alpha,jump,mean_T_VPT,std_dev
0.9,0.6,0.3,1e-06,1,7.469000000000003,2.0559423630053457
0.9,0.6,0.3,1e-06,5,8.986000000000002,1.9078794511184431
0.9,0.6,0.3,1e-06,10,9.342000000000006,1.8230622589478422
0.9,0.6,0.3,1e-06,20,9.732000000000003,2.0378066640385715
0.9,0.6,0.3,1e-07,1,8.194000000000004,2.4007507159220025
0.9,0.6,0.3,1e-07,5,10.317000000000004,1.3363723283576328
0.9,0.6,0.3,1e-07,10,10.120000000000005,1.295160221748644
0.9,0.6,0.3,1e-07,20,10.268000000000002,1.4999386654126894
0.9,0.6,0.4,1e-06,1,7.738000000000005,1.5495792977450364
0.9,0.6,0.4,1e-06,5,8.757000000000003,1.768154687803079
0.9,0.6,0.4,1e-06,10,9.351000000000003,1.26731961241038
0.9,0.6,0.4,1e-06,20,9.319000000000004,1.6740307643529129
0.9,0.6,0.4,1e-07,1,8.858000000000002,2.2006444510642766
0.9,0.6,0.4,1e-07,5,9.969000000000007,1.7706210774753588
0.9,0.6,0.4,1e-07,10,9.746000000000006,1.291156071123859
0.9,0.6,0.4,1e-07,20,10.166000000000004,1.2450718854748914
0.9,0.6,0.5,1e-06,1,7.700000000000005,1.8519503233078378
0.9,0.6,0.5,1e-06,5,8.654000000000005,1.5077678866456865
0.9,0.6,0.5,1e-06,10,9.149000000000003,1.7578904971584586
0.9,0.6,0.5,1e-06,20,8.752000000000002,1.866466179709668
0.9,0.6,0.5,1e-07,1,8.158000000000005,1.933224249796178
0.9,0.6,0.5,1e-07,5,9.877000000000002,1.6648516450422821
0.9,0.6,0.5,1e-07,10,9.959000000000003,1.3703061701678192
0.9,0.6,0.5,1e-07,20,9.495000000000001,1.3702974129728145
0.9,0.6,0.6,1e-06,1,6.966000000000008,2.1548651929993223
0.9,0.6,0.6,1e-06,5,8.409000000000002,1.8902960085658551
0.9,0.6,0.6,1e-06,10,8.618000000000006,1.9359018570165198
0.9,0.6,0.6,1e-06,20,8.957,1.4041833925808984
0.9,0.6,0.6,1e-07,1,6.1030000000000015,2.32355137666461
0.9,0.6,0.6,1e-07,5,9.175000000000002,1.9022920385682123
0.9,0.6,0.6,1e-07,10,9.588000000000005,1.8130350244824271
0.9,0.6,0.6,1e-07,20,9.825000000000006,2.081805706592236
0.9,0.6,0.7,1e-06,1,5.911000000000004,1.5619663888829358
0.9,0.6,0.7,1e-06,5,7.539000000000003,1.7930585601145324
0.9,0.6,0.7,1e-06,10,8.554000000000004,2.3326988661205235
0.9,0.6,0.7,1e-06,20,8.152000000000006,1.6799571423104853
0.9,0.6,0.7,1e-07,1,5.501000000000005,1.9634813469956878
0.9,0.6,0.7,1e-07,5,8.600000000000003,2.209841623284349
0.9,0.6,0.7,1e-07,10,8.337000000000003,2.052201500827831
0.9,0.6,0.7,1e-07,20,9.070000000000002,2.793302704684907
0.9,0.7,0.3,1e-06,1,6.915000000000001,1.8375295915984593
0.9,0.7,0.3,1e-06,5,8.334000000000001,1.596985911021135
0.9,0.7,0.3,1e-06,10,8.586000000000004,2.02949353287957
0.9,0.7,0.3,1e-06,20,8.933000000000002,1.4672596907159963
0.9,0.7,0.3,1e-07,1,6.731000000000003,1.8625517442476567
0.9,0.7,0.3,1e-07,5,9.578000000000005,0.9720473239508435
0.9,0.7,0.3,1e-07,10,9.603000000000003,1.8313740742950373
0.9,0.7,0.3,1e-07,20,9.802000000000007,1.5340000000000007
0.9,0.7,0.4,1e-06,1,6.270000000000008,2.165451454085265
0.9,0.7,0.4,1e-06,5,8.690000000000003,2.0315560538661
0.9,0.7,0.4,1e-06,10,8.498000000000005,2.097130420360164
0.9,0.7,0.4,1e-06,20,8.010000000000005,1.3440758907145105
0.9,0.7,0.4,1e-07,1,5.534000000000006,2.4304328832535176
0.9,0.7,0.4,1e-07,5,9.503000000000004,1.9193777637557443
0.9,0.7,0.4,1e-07,10,8.975000000000003,2.3353618563297647
0.9,0.7,0.4,1e-07,20,8.498000000000006,2.1423249053306552
0.9,0.7,0.5,1e-06,1,6.178000000000003,1.7571670381611422
0.9,0.7,0.5,1e-06,5,8.234000000000005,1.958510658638345
0.9,0.7,0.5,1e-06,10,7.118000000000005,2.159137790878569
0.9,0.7,0.5,1e-06,20,6.772000000000007,2.13484800395719
0.9,0.7,0.5,1e-07,1,6.449000000000003,2.4242893804164556
0.9,0.7,0.5,1e-07,5,8.898000000000005,2.6922548170631977
0.9,0.7,0.5,1e-07,10,8.151000000000005,2.852693288806213
0.9,0.7,0.5,1e-07,20,6.870000000000006,2.565388859412936
0.9,0.7,0.6,1e-06,1,4.842000000000003,1.3487609128381515
0.9,0.7,0.6,1e-06,5,6.243000000000005,1.7592643348854664
0.9,0.7,0.6,1e-06,10,7.033000000000003,2.270350413482465
0.9,0.7,0.6,1e-06,20,5.964000000000006,2.4163824200651662
0.9,0.7,0.6,1e-07,1,4.385000000000007,2.137633036795604
0.9,0.7,0.6,1e-07,5,7.244000000000002,2.46393668749828
0.9,0.7,0.6,1e-07,10,6.957000000000006,2.707517497635057
0.9,0.7,0.6,1e-07,20,5.554000000000002,2.656005271079107
0.9,0.7,0.7,1e-06,1,4.368000000000004,2.275033186571133
0.9,0.7,0.7,1e-06,5,5.610000000000004,2.019093856164194
0.9,0.7,0.7,1e-06,10,5.973000000000003,1.94752432590712
0.9,0.7,0.7,1e-06,20,5.504000000000003,2.328111681169955
0.9,0.7,0.7,1e-07,1,3.0620000000000047,1.6659159642671058
0.9,0.7,0.7,1e-07,5,6.655000000000003,2.7785598787861367
0.9,0.7,0.7,1e-07,10,5.586000000000008,2.5410084612216464
0.9,0.7,0.7,1e-07,20,5.425000000000006,2.809568472203515
0.9,0.8,0.3,1e-06,1,5.965999999999999,1.6758054779717129
0.9,0.8,0.3,1e-06,5,8.072000000000005,2.2574622920438783
0.9,0.8,0.3,1e-06,10,7.639000000000003,2.081388719100786
0.9,0.8,0.3,1e-06,20,8.479000000000003,2.674094052197867
0.9,0.8,0.3,1e-07,1,6.108000000000007,2.8091237067811745
0.9,0.8,0.3,1e-07,5,8.080000000000002,2.0976463000229537
0.9,0.8,0.3,1e-07,10,9.018000000000004,1.3377428751445475
0.9,0.8,0.3,1e-07,20,8.987000000000004,2.073241664640182
0.9,0.8,0.4,1e-06,1,5.998000000000003,2.227041984337071
0.9,0.8,0.4,1e-06,5,6.26300000000001,1.8763078105684063
0.9,0.8,0.4,1e-06,10,6.923000000000004,2.8772297440419985
0.9,0.8,0.4,1e-06,20,5.797000000000007,1.9619100387122763
0.9,0.8,0.4,1e-07,1,4.447000000000003,2.0658584172203116
0.9,0.8,0.4,1e-07,5,6.984000000000007,2.4086311465228536
0.9,0.8,0.4,1e-07,10,8.095000000000004,3.0458356817136423
0.9,0.8,0.4,1e-07,20,6.729000000000006,2.4909714972275383
0.9,0.8,0.5,1e-06,1,5.061000000000009,2.5616750379390423
0.9,0.8,0.5,1e-06,5,4.844000000000003,1.7167713883915907
0.9,0.8,0.5,1e-06,10,5.127000000000007,1.8898917958444081
0.9,0.8,0.5,1e-06,20,4.351000000000006,2.6737649485323107
0.9,0.8,0.5,1e-07,1,3.982000000000005,2.1255672184148877
0.9,0.8,0.5,1e-07,5,5.737000000000007,3.3980598876417694
0.9,0.8,0.5,1e-07,10,6.400000000000006,2.927333257420482
