r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.04,0.2,0.1,1e-08,0.1,0.5471837747019763,0.35712138222108825,"{'200': 1.1951638706111047, '400': 1.3184542060521443, '600': 1.3601640970897089, '800': 1.3910880809507935, '1000': 1.3909832862247387}","{'200': 0.1828977970842102, '400': 0.10581220683081549, '600': 0.09277376358027203, '800': 0.07617593418212687, '1000': 0.06736584393116288}"
0.1,0.04,0.2,0.1,1e-08,0.3,0.5715030535776201,0.39328166124105,"{'200': 1.1491321417042522, '400': 1.2977242954422008, '600': 1.3377167489275863, '800': 1.3788544907737117, '1000': 1.3902301838367113}","{'200': 0.2416939004252488, '400': 0.13919662231539406, '600': 0.09087130875145792, '800': 0.08201061840242671, '1000': 0.07408243266070186}"
0.1,0.04,0.2,0.1,1e-08,0.5,0.6278795636984295,0.435395871678292,"{'200': 1.1621921477702324, '400': 1.2803084391894501, '600': 1.3443361915644885, '800': 1.3785771006417762, '1000': 1.3818746522853769}","{'200': 0.24868557273777933, '400': 0.12939536465910217, '600': 0.10627046026671676, '800': 0.09648110410564051, '1000': 0.0838616554745146}"
0.1,0.04,0.2,0.1,1e-08,0.7,0.6757811736049999,0.467583680124453,"{'200': 1.1390593461180667, '400': 1.3090508952401847, '600': 1.3561504603292596, '800': 1.3927191343369527, '1000': 1.3954068602779517}","{'200': 0.2941688308304232, '400': 0.1379734212364271, '600': 0.11841320864023121, '800': 0.09529894413913023, '1000': 0.07882346650135708}"
0.1,0.04,0.2,0.1,1e-08,0.9,0.675781173605,0.3299485947474672,"{'200': 1.2014411596883667, '400': 1.2930753011089642, '600': 1.3424448195442729, '800': 1.3744400126891527, '1000': 1.3776599546093475}","{'200': 0.23183453513899974, '400': 0.16799531502969234, '600': 0.11410986173244889, '800': 0.08783353123435607, '1000': 0.07781210332301149}"
0.1,0.04,0.2,0.3,1e-08,0.1,1.3806717870763003,0.496128756844942,"{'200': 0.8420834478971715, '400': 1.1501204646753713, '600': 1.2422413345033751, '800': 1.284436948712055, '1000': 1.303152132276896}","{'200': 0.27768206173580534, '400': 0.15293689374742847, '600': 0.1248535371838957, '800': 0.10804372471224123, '1000': 0.09827734672105626}"
0.1,0.04,0.2,0.3,1e-08,0.3,1.4436808277995579,0.604680863005488,"{'200': 0.846395317149302, '400': 1.163502293295323, '600': 1.2537820929408932, '800': 1.2951242904943419, '1000': 1.3220428400055508}","{'200': 0.25153697468415653, '400': 0.15445706674019616, '600': 0.12436459451703133, '800': 0.10757021167128183, '1000': 0.08915485304003856}"
0.1,0.04,0.2,0.3,1e-08,0.5,1.4709478980540673,0.6627703884859558,"{'200': 0.8425940835359752, '400': 1.15647198951872, '600': 1.2389852677366697, '800': 1.2925397117363238, '1000': 1.3112492905861362}","{'200': 0.28153915639670385, '400': 0.18894001870005445, '600': 0.15295937196296977, '800': 0.12553727652069258, '1000': 0.10509692143369907}"
0.1,0.04,0.2,0.3,1e-08,0.7,1.5509067392058036,0.675778963561502,"{'200': 0.8491909803379513, '400': 1.165833861457841, '600': 1.2448290511766809, '800': 1.3000676661621724, '1000': 1.3192005028982374}","{'200': 0.29727690146187513, '400': 0.17493732521649438, '600': 0.12456791687457117, '800': 0.11523197915646292, '1000': 0.09644076916320127}"
0.1,0.04,0.2,0.3,1e-08,0.9,1.5033736032215919,0.6182065673133929,"{'200': 0.876444305207921, '400': 1.1686654360877047, '600': 1.2758987676260485, '800': 1.3316783616943793, '1000': 1.343177073772761}","{'200': 0.2717505013321086, '400': 0.16895793424222566, '600': 0.13209949711520777, '800': 0.10875823319112757, '1000': 0.0949942899818055}"
0.1,0.04,0.2,0.5,1e-08,0.1,1.8221035460614627,0.7340884669559075,"{'200': 0.7547585172031778, '400': 1.125077500798445, '600': 1.2224702144791746, '800': 1.2704707824846122, '1000': 1.2912418176793936}","{'200': 0.28984346802024474, '400': 0.1544083867907664, '600': 0.1120894000653556, '800': 0.09110861170510512, '1000': 0.07528121861650602}"
0.1,0.04,0.2,0.5,1e-08,0.3,1.9330141966912906,0.7640494924280233,"{'200': 0.7133723113860515, '400': 1.0913855951602487, '600': 1.1997572071337512, '800': 1.2442317213655492, '1000': 1.2768107146115495}","{'200': 0.310246108757232, '400': 0.16940903592636716, '600': 0.12326211365190326, '800': 0.10939374385011913, '1000': 0.09930982851901732}"
0.1,0.04,0.2,0.5,1e-08,0.5,1.8917451173871693,0.6901305078564296,"{'200': 0.7159417933777856, '400': 1.0919931257637403, '600': 1.205525597980791, '800': 1.2622936543462708, '1000': 1.2918886765700668}","{'200': 0.26150030976513733, '400': 0.18911304468716822, '600': 0.14733753277209882, '800': 0.12517608876947403, '1000': 0.09653182847587832}"
0.1,0.04,0.2,0.5,1e-08,0.7,1.934119618458366,0.6228848671999357,"{'200': 0.7105693643839975, '400': 1.1195048410858515, '600': 1.22874821281731, '800': 1.2875953978710641, '1000': 1.3067385167042986}","{'200': 0.22267985162753973, '400': 0.12815582508640963, '600': 0.10348132474651467, '800': 0.08600926115339756, '1000': 0.0760495879008908}"
0.1,0.04,0.2,0.5,1e-08,0.9,2.0726658132650613,0.6695699422799927,"{'200': 0.6699854306418994, '400': 1.1120602841488982, '600': 1.2339687719049068, '800': 1.281621193624673, '1000': 1.3065655844965343}","{'200': 0.2660746439516184, '400': 0.15701424948543757, '600': 0.1235501048080961, '800': 0.1005046981065431, '1000': 0.08682561504862352}"
0.1,0.04,0.2,0.7,1e-08,0.1,1.6050724057924635,0.7766766022979869,"{'200': 37.98840000562304, '400': 96.24592983107442, '600': 115.50856397847714, '800': 124.83907743418935, '1000': 127.76296159931385}","{'200': 201.70199505326096, '400': 330.27809238582506, '600': 381.1033632531749, '800': 409.30716026975443, '1000': 417.70836351442034}"
