tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.7, 0.5]","[0.3, 0.3, 0.1]",3.5337777777777792,1.5023467404015163,"{'200': 0.7862993242721603, '400': 2.1035910852520607, '600': 6.99076873035628, '800': 13.258342189817332, '1000': 17.965066296023497}","{'200': 0.5874800810077984, '400': 2.3275445948927778, '600': 32.80821783416828, '800': 45.44555801077767, '1000': 56.06069156772976}"
0.01,0.2,"[0.7, 0.7]","[0.3, 0.3, 0.1]",3.3275555555555565,1.1073033420693832,"{'200': 0.8672390851174793, '400': 2.557058989519709, '600': 5.307388878427845, '800': 6.159116710619475, '1000': 9.905220837913147}","{'200': 0.6337024435649359, '400': 5.269138946182138, '600': 22.099165835852265, '800': 26.802277916134486, '1000': 32.62400155476706}"
0.01,0.2,"[0.7, 0.9]","[0.3, 0.3, 0.1]",3.439555555555556,1.1869324712712277,"{'200': 0.9204700335402533, '400': 7.111798950013437, '600': 20.492290887795345, '800': 27.749095138345528, '1000': 31.670134451003133}","{'200': 0.6486812185909958, '400': 31.020992599019365, '600': 60.824283665646334, '800': 76.85501784987471, '1000': 86.63295161029188}"
0.01,0.2,"[0.9, 0.1]","[0.3, 0.3, 0.1]",3.033777777777779,0.998103287660905,"{'200': 1.0907709686136946, '400': 1.948987721895698, '600': 3.219926058011964, '800': 5.663678302140784, '1000': 7.087102935152734}","{'200': 0.581833843018305, '400': 0.37051423564317104, '600': 6.418263776080458, '800': 14.822589933646276, '1000': 18.170224864024043}"
0.01,0.2,"[0.9, 0.3]","[0.3, 0.3, 0.1]",3.316000000000001,1.088677893389755,"{'200': 0.9246814057029015, '400': 8.801422161591375, '600': 23.459752980406886, '800': 33.34294777049785, '1000': 38.762187679537895}","{'200': 0.6148242116434182, '400': 29.556218192984005, '600': 56.84648449209948, '800': 71.09964814072877, '1000': 79.95713806424189}"
0.01,0.2,"[0.9, 0.5]","[0.3, 0.3, 0.1]",3.2773333333333343,1.0879754899200016,"{'200': 0.9242237905578128, '400': 1.8218534437597693, '600': 4.202548919788278, '800': 8.50591959109353, '1000': 15.153817678604357}","{'200': 0.6435477298693096, '400': 0.46023741218316294, '600': 10.46627174401768, '800': 23.63989713182886, '1000': 37.903116966934476}"
0.01,0.2,"[0.9, 0.7]","[0.3, 0.3, 0.1]",3.628000000000001,1.277646447357188,"{'200': 0.9197095625633789, '400': 10.94682899045186, '600': 15.754804123230672, '800': 26.823341227244626, '1000': 34.289010132979755}","{'200': 0.7050788278121426, '400': 36.327164053626, '600': 50.54323885229924, '800': 69.75575203593272, '1000': 82.64898350553422}"
0.01,0.2,"[0.9, 0.9]","[0.3, 0.3, 0.1]",3.3582222222222224,1.2432560992792527,"{'200': 0.892860507779425, '400': 1.773092927076489, '600': 2.0128989820023855, '800': 2.162677681486852, '1000': 5.609350064151697}","{'200': 0.5986887410797517, '400': 0.45456517587677653, '600': 0.3088837803573504, '800': 0.25997640111425563, '1000': 14.04790452160732}"
0.01,0.45,"[0.1, 0.1]","[0.3, 0.3, 0.1]",3.655111111111112,1.2161809482003214,"{'200': 0.6816447601736478, '400': 1.518631723531998, '600': 1.8339722767530242, '800': 2.0029964022784483, '1000': 2.109397438955715}","{'200': 0.5109502460893477, '400': 0.5009084016963702, '600': 0.3383280389129721, '800': 0.26600244301351456, '1000': 0.260572228576604}"
0.01,0.45,"[0.1, 0.3]","[0.3, 0.3, 0.1]",3.860000000000001,1.300741668775506,"{'200': 0.6887309068867092, '400': 1.5601567701685393, '600': 2.025749725677115, '800': 3.3267234399117265, '1000': 5.419483165589772}","{'200': 0.5329159808899642, '400': 0.5620890158801385, '600': 0.5063904116044816, '800': 6.611113380433382, '1000': 13.51709082223575}"
0.01,0.45,"[0.1, 0.5]","[0.3, 0.3, 0.1]",3.5702222222222235,1.0119782362369678,"{'200': 0.6987614259745543, '400': 1.5918608213813519, '600': 2.1637912327239373, '800': 3.8387196490832873, '1000': 6.84116150765126}","{'200': 0.5352979811042243, '400': 0.5836554319441427, '600': 1.6700512561811112, '800': 9.389664863358789, '1000': 22.20496562934205}"
