tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.7, 0.1]",3.381777777777779,1.1181399015803757,"{'200': 0.9336184635745315, '400': 3.8008689607834203, '600': 7.179587867396637, '800': 11.404623120277904, '1000': 17.490296586355758}","{'200': 0.596834510849197, '400': 13.51532153954609, '600': 34.4899285245545, '800': 50.052572724664266, '1000': 62.13502122354397}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.7, 0.1]",3.11688888888889,0.8707489042892831,"{'200': 1.0302949618153154, '400': 1.7984331322218918, '600': 3.5243123003910766, '800': 7.538456456010009, '1000': 8.506208977724992}","{'200': 0.6041480398503151, '400': 0.3999908627555062, '600': 8.62576391552582, '800': 20.785850245109813, '1000': 24.772935401239494}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.7, 0.1]",3.1377777777777776,0.977945440170676,"{'200': 1.0387930038535884, '400': 3.558825476995866, '600': 4.360814589911871, '800': 6.542541561152463, '1000': 8.13684085985173}","{'200': 0.6146432062430996, '400': 11.554990576371173, '600': 13.382720843372166, '800': 20.48203481234778, '1000': 24.517774162705347}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.7, 0.1]",3.421333333333334,1.5037221965657235,"{'200': 1.017552883834988, '400': 1.8530753629465062, '600': 7.291004428669671, '800': 11.974689755361753, '1000': 18.379200695621094}","{'200': 0.640146741892475, '400': 0.8130552054080434, '600': 20.202719874491734, '800': 29.176668537456813, '1000': 35.88505874721627}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.7, 0.1]",3.292888888888889,1.3594649637465182,"{'200': 0.9519905187447326, '400': 9.650038728496485, '600': 15.408077085866932, '800': 25.710730089138316, '1000': 31.141179264257712}","{'200': 0.5801142974534538, '400': 39.244053370142225, '600': 56.502069679565054, '800': 66.30319266123628, '1000': 72.25803932725974}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.7, 0.1]",3.06088888888889,1.162464474433945,"{'200': 0.9431295120458449, '400': 1.8082210137668182, '600': 2.2305742739595313, '800': 2.4962602655136923, '1000': 3.2674616432861865}","{'200': 0.639393980742584, '400': 0.4739196328539491, '600': 1.2683504149819185, '800': 2.241074795904626, '1000': 4.952837750052259}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.7, 0.1]",3.1608888888888895,1.0404695995819968,"{'200': 3.238820381240026, '400': 5.879542997121458, '600': 8.81985345095094, '800': 14.427987439834288, '1000': 18.862723167247708}","{'200': 15.27429718758399, '400': 26.73610733114275, '600': 40.908006500623415, '800': 50.509205465924964, '1000': 58.023004476581804}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.7, 0.1]",3.2191111111111113,1.2918889223359413,"{'200': 0.9883059901809937, '400': 1.841191144403285, '600': 2.8667400076226603, '800': 8.947696886968874, '1000': 11.369593343449901}","{'200': 0.6283608769727027, '400': 0.5154169389674023, '600': 5.012401920000797, '800': 22.955724484692713, '1000': 29.94839853358288}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.7, 0.1]",3.4613333333333345,1.293748387009193,"{'200': 0.8001059431054433, '400': 1.6617878574630187, '600': 1.9104789722677054, '800': 2.0866954500085884, '1000': 2.2184333048437086}","{'200': 0.5843108230252038, '400': 0.4389753176275945, '600': 0.30954705665021526, '800': 0.2706719541536329, '1000': 0.263463033838351}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.7, 0.1]",3.4533333333333336,1.0624499988234748,"{'200': 0.8773641783275391, '400': 2.0160825546068906, '600': 5.111081160899005, '800': 6.565045247436649, '1000': 8.788332357808942}","{'200': 0.5910823911818158, '400': 1.3048212933476475, '600': 16.36818877789889, '800': 21.297435073288675, '1000': 24.622330160803255}"
0.01,0.2,"[0.5, 0.1]","[0.3, 0.7, 0.1]",3.1115555555555563,1.1551353081985296,"{'200': 1.0334224891563335, '400': 1.874667404695031, '600': 2.0623838491903315, '800': 4.542890510502318, '1000': 6.90161952426103}","{'200': 0.5878970894651732, '400': 0.41546744962835536, '600': 0.28788940621371883, '800': 15.772736910392787, '1000': 26.51102964543936}"
