tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.5, 0.5]",3.5182222222222235,1.1779516852738512,"{'200': 0.9546042633625959, '400': 1.750799781739206, '600': 3.3957356580482445, '800': 5.683119336692587, '1000': 7.08137925873006}","{'200': 0.6406537892693647, '400': 0.4767356536217162, '600': 6.532471940798216, '800': 16.98944562373297, '1000': 21.793642711947705}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.5, 0.5]",3.4782222222222217,1.480173096317363,"{'200': 0.8887252595358333, '400': 2.5436931012178525, '600': 4.4830446192765425, '800': 4.862706398944929, '1000': 7.203669862256175}","{'200': 0.5970070325535238, '400': 5.6542261093355854, '600': 16.437013685395435, '800': 18.075002700533155, '1000': 23.455678178432464}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.5, 0.5]",3.923555555555556,1.6155537826675281,"{'200': 0.728671221965922, '400': 2.1600235300904393, '600': 7.980292734226781, '800': 13.546861292664618, '1000': 19.29475714329032}","{'200': 0.5893864795160524, '400': 3.6208594561101375, '600': 22.857052848134263, '800': 32.71380522344181, '1000': 39.80452898407445}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.5, 0.5]",3.7368888888888896,1.276139703641367,"{'200': 0.7773832408961463, '400': 3.208340882495842, '600': 8.66852704814107, '800': 11.43400025949848, '1000': 11.903742854142143}","{'200': 0.5850152228996737, '400': 7.290316064660848, '600': 23.972746207228965, '800': 28.26242781009743, '1000': 29.132356918281506}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.5, 0.5]",3.5017777777777788,0.9512641621404857,"{'200': 0.7720423484993956, '400': 4.097788344927047, '600': 9.51118440554113, '800': 12.611119748617956, '1000': 13.63769712753473}","{'200': 0.508899225789828, '400': 12.180500483559245, '600': 29.94984683811609, '800': 37.68517367753876, '1000': 40.09843260456111}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.5, 0.5]",3.521333333333334,1.0087915763151694,"{'200': 0.8070025190124006, '400': 2.0275996875639466, '600': 5.808503013929875, '800': 7.724640095584299, '1000': 8.683146019009504}","{'200': 0.5360112311245533, '400': 2.2366338050800003, '600': 25.588792037933, '800': 37.34179886444876, '1000': 42.063979588171584}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.5, 0.5]",3.6448888888888904,1.1962917188308246,"{'200': 0.7468236046581208, '400': 3.1238392894535787, '600': 5.249304787183991, '800': 7.78418355190985, '1000': 11.963136545805321}","{'200': 0.5622974385002609, '400': 9.009946229524306, '600': 14.576832877113354, '800': 22.267678290834972, '1000': 31.38913658454188}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.5, 0.5]",3.4795555555555566,1.2247048724861673,"{'200': 0.8265858511728047, '400': 1.7977637051352366, '600': 7.6788490157382885, '800': 14.21113757317609, '1000': 18.77244110549154}","{'200': 0.586952198232248, '400': 0.43449890834885746, '600': 23.102036470244965, '800': 37.37670409629577, '1000': 45.123617728670915}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.5, 0.5]",3.3893333333333335,0.9831613408908139,"{'200': 0.9697520246479998, '400': 7.180845388257789, '600': 10.785302503105921, '800': 18.256094874907976, '1000': 24.953920763264072}","{'200': 0.6099412429417028, '400': 35.681146553814266, '600': 45.59265161259101, '800': 57.72513035950205, '1000': 70.52693491337232}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.5, 0.5]",3.4795555555555566,1.3984657554390822,"{'200': 0.8697154833986159, '400': 1.7980126925012794, '600': 5.125226708563881, '800': 10.80263283588491, '1000': 13.685629181863215}","{'200': 0.5320867550869385, '400': 0.49194485181646275, '600': 20.40539989991871, '800': 34.805369291244276, '1000': 44.53279463065344}"
