tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.7, 0.5]",3.164888888888889,0.982913180798617,"{'200': 0.9011921149139395, '400': 4.262971370320458, '600': 6.413967169813365, '800': 7.242702242805017, '1000': 10.81387183085051}","{'200': 0.5298956479630317, '400': 16.123207221767917, '600': 22.85914679135055, '800': 25.438361526268086, '1000': 30.13885447223933}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.7, 0.5]",3.8448888888888884,1.4990435798605015,"{'200': 0.7769016325210095, '400': 4.258291204768539, '600': 11.375166205408917, '800': 15.722700861288168, '1000': 18.466370939085255}","{'200': 0.5690235938415783, '400': 12.407107335833853, '600': 27.239649578103, '800': 35.093365913838184, '1000': 38.62081372319007}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.7, 0.5]",3.583555555555557,1.244438571414713,"{'200': 0.7925401466527034, '400': 1.6972027396469214, '600': 1.9870550053350347, '800': 4.9494246350514794, '1000': 10.586855039992797}","{'200': 0.5579013817136578, '400': 0.5112504786122624, '600': 0.34026947388283313, '800': 11.740972546753651, '1000': 28.244846609211155}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.7, 0.5]",3.714666666666667,1.3753732422711864,"{'200': 0.830400579947416, '400': 3.740866841708616, '600': 6.887114647981594, '800': 7.825311342584662, '1000': 10.173943044996465}","{'200': 0.5550468267184336, '400': 13.507692886067602, '600': 22.81011607110961, '800': 26.511058918135987, '1000': 30.676168272731324}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.7, 0.5]",3.585777777777779,1.29687228684827,"{'200': 0.8343330411459411, '400': 3.191594379669384, '600': 6.878121962940422, '800': 12.509748972788152, '1000': 15.625272485156206}","{'200': 0.6013797205365286, '400': 9.348832577898628, '600': 22.39549804680685, '800': 34.265982284953594, '1000': 42.50383314701815}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.7, 0.5]",3.7346666666666666,1.2754460657615696,"{'200': 0.8017944086069012, '400': 1.7051796885404769, '600': 2.725632132883231, '800': 5.492486943911072, '1000': 6.931049339488063}","{'200': 0.5547574122661492, '400': 0.5027546248049262, '600': 4.594107610545318, '800': 13.269861192738391, '1000': 19.1942960214573}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.7, 0.5]",3.702666666666668,1.48534530216602,"{'200': 0.8171064597357209, '400': 1.7272484426360624, '600': 3.0895778058856305, '800': 5.445184204872377, '1000': 7.719635385265238}","{'200': 0.5391867635954875, '400': 0.5109572507175556, '600': 5.470367067956247, '800': 15.57470974631742, '1000': 20.707367409041524}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.7, 0.5]",3.5084444444444456,1.2299845627857928,"{'200': 0.7862936178111892, '400': 1.7516779214328606, '600': 3.0202789340887826, '800': 5.555220553839833, '1000': 6.917763052282853}","{'200': 0.5983912771655978, '400': 0.5102355638429066, '600': 6.707373176789102, '800': 16.718626090941044, '1000': 22.201238652197524}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.7, 0.5]",3.486666666666667,1.1167333313434025,"{'200': 0.8160264091358644, '400': 3.7592417593263225, '600': 6.709602627706289, '800': 9.683131039869034, '1000': 13.50638173078158}","{'200': 0.6013479818867179, '400': 13.099036164733896, '600': 21.255676919831785, '800': 28.381515772683397, '1000': 36.24331621044259}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.7, 0.5]",3.417777777777779,1.1499427790380392,"{'200': 0.9676071574434875, '400': 4.0705079648957545, '600': 5.687463955886523, '800': 10.557236237580858, '1000': 21.14483166114376}","{'200': 0.6667857930085551, '400': 14.55308507919667, '600': 18.62245571530012, '800': 27.20214799134077, '1000': 39.40467381546107}"
