tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.1, 0.3]",2.9915555555555557,1.092165953111432,"{'200': 1.087754456600952, '400': 1.8797540304409028, '600': 6.178970897497912, '800': 14.768252937105524, '1000': 19.285113685668584}","{'200': 0.5589737685777122, '400': 0.3765210047815606, '600': 19.074913319922, '800': 58.36287640215055, '1000': 69.9435015840191}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.1, 0.3]",2.8608888888888897,1.0911356412721205,"{'200': 1.1410506914652285, '400': 1.8727645631321648, '600': 2.2383429299638413, '800': 10.542595016296985, '1000': 24.624781794298293}","{'200': 0.6181570443342785, '400': 0.4429853320118598, '600': 1.1694373570347993, '800': 28.199015944203357, '1000': 57.17923248063164}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.1, 0.3]",2.9697777777777787,0.8455753830351627,"{'200': 1.1672718919074185, '400': 1.8951467934906454, '600': 7.5140386654546045, '800': 12.920452154169473, '1000': 15.27031495246137}","{'200': 0.5902445875171134, '400': 0.348181017031814, '600': 36.05966683588107, '800': 71.3877924443999, '1000': 86.56097616174846}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.1, 0.3]",3.0608888888888903,1.1054527925439463,"{'200': 1.1542648477730042, '400': 1.9116620852404151, '600': 2.1090146794386193, '800': 4.013275907766974, '1000': 12.148004928729295}","{'200': 0.6181521160689465, '400': 0.3797092084645677, '600': 0.30030734898490763, '800': 8.384661947979428, '1000': 59.39805011803075}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.1, 0.3]",3.162666666666667,1.3081664861765712,"{'200': 1.0338110466306676, '400': 1.7606684014506593, '600': 2.0121455080304296, '800': 3.3150391078907515, '1000': 4.075253146044601}","{'200': 0.5348306806832378, '400': 0.487004273464097, '600': 0.34114402572804653, '800': 7.752792665219085, '1000': 12.170534945539561}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.1, 0.3]",3.3968888888888893,1.8775064103719212,"{'200': 0.9934468027040528, '400': 1.75215077091938, '600': 2.0242606547173643, '800': 2.7308498854690924, '1000': 10.219727057232424}","{'200': 0.6339462991858895, '400': 0.5692716653824245, '600': 0.33447795814186904, '800': 3.8739287975211094, '1000': 32.464264220063896}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.1, 0.3]",2.8400000000000007,0.9768793852535395,"{'200': 1.15273153760695, '400': 1.876204635319796, '600': 9.643530931047762, '800': 19.75800206178546, '1000': 27.019554616906746}","{'200': 0.582263417296154, '400': 0.37980441471507903, '600': 28.035608399528265, '800': 51.253927120859196, '1000': 65.3444256175463}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.1, 0.3]",3.4657777777777787,1.4209644438258417,"{'200': 0.9531371572522643, '400': 1.7718513399900058, '600': 6.197121647312421, '800': 12.502692823234568, '1000': 14.521186377493219}","{'200': 0.6360701323286436, '400': 0.5220282578586675, '600': 27.452598326344795, '800': 48.901492480372085, '1000': 57.62804618119955}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.1, 0.3]",3.22,1.1189995531723858,"{'200': 0.8880705732752652, '400': 1.7176767564044129, '600': 3.314333504732543, '800': 4.9317575273633825, '1000': 18.005759197784545}","{'200': 0.566004088044085, '400': 0.48622389057475907, '600': 8.823690661730197, '800': 17.76141746151554, '1000': 49.06878966227334}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.1, 0.3]",3.32088888888889,1.125478312584816,"{'200': 0.9778351672606351, '400': 6.541442219953076, '600': 25.64068622399879, '800': 39.2390454738061, '1000': 55.49863308516515}","{'200': 0.6379443765212602, '400': 30.647530215087983, '600': 80.04052912854506, '800': 103.01564141177211, '1000': 119.66948721991335}"
