tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.5, 0.3]",3.4217777777777783,1.2790192230140662,"{'200': 0.8411363838318224, '400': 1.6853460140742758, '600': 2.7005825937847066, '800': 2.8484945367240337, '1000': 2.9399912829325694}","{'200': 0.5130711849637477, '400': 0.4173577006870624, '600': 5.102314870431797, '800': 5.052028384936331, '1000': 4.82400728866929}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.5, 0.3]",3.666222222222222,1.6848333763826144,"{'200': 0.9004435287237879, '400': 2.47283161371967, '600': 8.534517465695188, '800': 12.674122779125065, '1000': 24.52256741993762}","{'200': 0.6016211467839124, '400': 5.057621992698854, '600': 27.17933445356487, '800': 33.56535655931007, '1000': 42.94578563507217}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.5, 0.3]",3.829777777777779,1.8153793468141877,"{'200': 0.7512982709575599, '400': 3.6729929478642225, '600': 5.8197163400616905, '800': 8.175838202512919, '1000': 12.643402493510894}","{'200': 0.576815945100907, '400': 14.021204026101227, '600': 22.433675506271353, '800': 26.605763562243297, '1000': 31.407474382090847}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.5, 0.3]",3.327111111111111,1.2776169174108183,"{'200': 0.8909232726426614, '400': 2.4827852886810473, '600': 5.585388487123514, '800': 12.8378728694558, '1000': 18.57699354275048}","{'200': 0.6052904800404958, '400': 5.231448218581743, '600': 13.286497438757955, '800': 32.27626620335978, '1000': 42.30703694876056}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.5, 0.3]",3.833777777777778,1.6012207688564637,"{'200': 0.722749291015839, '400': 3.516548191779571, '600': 12.328834699909088, '800': 19.01482674748856, '1000': 25.224993764676615}","{'200': 0.5396319956349247, '400': 9.65066666508574, '600': 33.387729185107375, '800': 48.58244390555164, '1000': 59.28257750124535}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.5, 0.3]",3.4586666666666677,1.300928898902626,"{'200': 0.8587040188343174, '400': 2.997699459200767, '600': 3.703973572460117, '800': 4.016820344943999, '1000': 5.559267804971629}","{'200': 0.6221236161445273, '400': 9.035458505877674, '600': 11.78478441987116, '800': 12.921478985269152, '1000': 15.094214794086863}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.5, 0.3]",3.687111111111112,1.1660848496328255,"{'200': 0.8108630858420939, '400': 1.8732324708097106, '600': 3.830848761241626, '800': 11.198757851805171, '1000': 15.400095970228076}","{'200': 0.5769904748442444, '400': 0.7557898089429135, '600': 7.253791291855116, '800': 28.466630956654697, '1000': 38.18858713134911}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.5, 0.3]",3.5204444444444447,1.0836521696058001,"{'200': 0.8465987856442642, '400': 1.844539062825784, '600': 6.028491261673017, '800': 11.18171615758777, '1000': 14.981459939468756}","{'200': 0.6382407547787275, '400': 0.4418811210852123, '600': 26.751439453956557, '800': 37.09605340134289, '1000': 46.56044220420203}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.5, 0.3]",3.4120000000000017,1.2091679416487653,"{'200': 0.9045120387035617, '400': 1.8166945069576594, '600': 6.105716988359225, '800': 11.427273515982815, '1000': 23.47873813012367}","{'200': 0.6318033769943513, '400': 0.5822188243571841, '600': 21.471377990445884, '800': 31.603334077377774, '1000': 45.159417971159314}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.5, 0.3]",3.7128888888888887,1.3314864245516855,"{'200': 1.4420230858109682, '400': 3.2036836223445833, '600': 4.710408474676333, '800': 5.214571110562469, '1000': 8.96955029471869}","{'200': 4.31554188306967, '400': 8.929242085984502, '600': 12.68696346777295, '800': 14.356628534833042, '1000': 20.718332176840402}"
0.01,0.2,"[0.5, 0.1]","[0.3, 0.5, 0.3]",3.532444444444444,1.503556015370902,"{'200': 0.7565709993809978, '400': 1.6333854505826952, '600': 3.4428337959254676, '800': 5.131628497121575, '1000': 6.322482258665034}","{'200': 0.5850445470174135, '400': 0.5550816642522131, '600': 9.939822068854987, '800': 14.80425443415797, '1000': 18.31412245872463}"
0.01,0.2,"[0.5, 0.3]","[0.3, 0.5, 0.3]",3.713333333333334,1.263947959547561,"{'200': 0.6989110707469617, '400': 1.6458298437692225, '600': 1.9312902924217437, '800': 4.831451637501617, '1000': 6.8130157648111656}","{'200': 0.569799370348172, '400': 0.5141611944580402, '600': 0.39734338637059397, '800': 18.503204217917443, '1000': 25.47284195665773}"
0.01,0.2,"[0.5, 0.5]","[0.3, 0.5, 0.3]",3.7222222222222237,1.565427721300886,"{'200': 0.8313046103824366, '400': 2.807198536708729, '600': 3.4102230386562353, '800': 3.7363553273437606, '1000': 6.1667598649394995}","{'200': 0.6514584803713128, '400': 7.009760384466881, '600': 9.564848222380085, '800': 10.949121575202224, '1000': 15.791731414694189}"
0.01,0.2,"[0.5, 0.7]","[0.3, 0.5, 0.3]",3.3648888888888906,1.1098600957322347,"{'200': 0.9613047459239535, '400': 7.6302708181093735, '600': 9.052544288720274, '800': 9.835702660284365, '1000': 10.493461246194434}","{'200': 0.9403512124114292, '400': 27.6201274319372, '600': 33.40338000597598, '800': 36.616248508848344, '1000': 39.25328301564375}"
0.01,0.2,"[0.5, 0.9]","[0.3, 0.5, 0.3]",3.2982222222222237,0.9195537296582486,"{'200': 0.8629897938148937, '400': 3.185130728726601, '600': 9.432492466660099, '800': 16.619397811936782, '1000': 20.323964958626586}","{'200': 0.5974270134928117, '400': 8.32638346832368, '600': 24.83004106847063, '800': 41.82060435248535, '1000': 50.5127172679396}"
0.01,0.2,"[0.7, 0.1]","[0.3, 0.5, 0.3]",3.7022222222222227,1.4060138910154465,"{'200': 0.7844424066873222, '400': 6.675252162216876, '600': 8.303622793504646, '800': 8.944738687350286, '1000': 9.758137722753842}","{'200': 0.5654823246740955, '400': 24.692276480634067, '600': 28.173021439543316, '800': 29.798068083655064, '1000': 31.030618400030388}"
0.01,0.2,"[0.7, 0.3]","[0.3, 0.5, 0.3]",3.645333333333334,1.3081447422463108,"{'200': 0.8201033261743154, '400': 1.6860810485862345, '600': 1.9748785825635469, '800': 2.3074291159504217, '1000': 2.454681797024497}","{'200': 0.6180180034635587, '400': 0.5225457856385887, '600': 0.3441321699079827, '800': 1.4505478610526326, '1000': 1.6943467580397045}"
0.01,0.2,"[0.7, 0.5]","[0.3, 0.5, 0.3]",3.5826666666666678,1.631400761445343,"{'200': 0.8606154416881596, '400': 5.259672700131868, '600': 8.108205745154539, '800': 9.303952241800825, '1000': 13.741294959459296}","{'200': 0.5829906817847694, '400': 23.641172676993563, '600': 31.685224130550463, '800': 35.15476871198026, '1000': 39.601153654953634}"
0.01,0.2,"[0.7, 0.7]","[0.3, 0.5, 0.3]",3.4240000000000017,1.069019072691305,"{'200': 1.4040268632373605, '400': 5.280607426481136, '600': 12.821490142829047, '800': 18.64647258731034, '1000': 24.156643440412438}","{'200': 3.3285041732138345, '400': 16.245629460204114, '600': 35.994541498751346, '800': 50.263058505194834, '1000': 59.06081009617789}"
0.01,0.2,"[0.7, 0.9]","[0.3, 0.5, 0.3]",3.224444444444445,0.8688985506709195,"{'200': 0.8150714091846419, '400': 3.0005669355901174, '600': 9.400720239283908, '800': 11.748091200355146, '1000': 12.992222076477237}","{'200': 0.512307383918166, '400': 6.848172117168156, '600': 24.41205042387515, '800': 29.215737621621045, '1000': 32.118974124992235}"
