tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.1, 0.7]",3.0875555555555567,0.8817486554330687,"{'200': 1.1494456870767478, '400': 1.9863613533108264, '600': 2.142534177052482, '800': 4.019267102836118, '1000': 8.018628596315969}","{'200': 0.6010813872335761, '400': 0.4188144946213369, '600': 0.31591770226576105, '800': 11.74401470284409, '1000': 22.774954258819253}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.1, 0.7]",3.0462222222222226,1.098118165851399,"{'200': 1.0710075001959782, '400': 1.8712332365299156, '600': 2.1303145922821116, '800': 2.2163179380631153, '1000': 2.3060716099095213}","{'200': 0.6143275059793534, '400': 0.3988516345898346, '600': 0.49762730298910784, '800': 0.4005354063749154, '1000': 0.5491764497663039}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.1, 0.7]",2.8724444444444455,0.833171065683007,"{'200': 1.1459629914626202, '400': 1.8924842606342656, '600': 2.066991724715029, '800': 3.104565041572498, '1000': 7.7024386735986745}","{'200': 0.5590157299678369, '400': 0.42851018317580036, '600': 0.3523149794691709, '800': 5.845875020126426, '1000': 26.69731468734273}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.1, 0.7]",2.9906666666666677,1.0966421476489039,"{'200': 1.0966699577982792, '400': 1.8896206402596327, '600': 7.012802125975959, '800': 14.456417239383283, '1000': 19.19939681359796}","{'200': 0.5821846143452784, '400': 0.41145035165658256, '600': 27.385494478372262, '800': 57.217429028978046, '1000': 73.23196750750299}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.1, 0.7]",3.223111111111113,1.128570033709762,"{'200': 1.0108733413074724, '400': 1.8475925313867931, '600': 3.58329567320732, '800': 4.896548177558284, '1000': 9.778236239295428}","{'200': 0.6214790341485519, '400': 0.4069330832320634, '600': 10.175224613023614, '800': 17.822300765660817, '1000': 29.805257640045294}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.1, 0.7]",3.1644444444444457,1.0053005201443344,"{'200': 0.9009477782803161, '400': 1.7493157163822957, '600': 1.9702465125312882, '800': 3.651689428163613, '1000': 10.827611766449541}","{'200': 0.5272538310505221, '400': 0.34102505067033473, '600': 0.2923068860261591, '800': 10.309841174666436, '1000': 47.359089716909466}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.1, 0.7]",3.1093333333333337,1.2919621597485826,"{'200': 1.0136209493042752, '400': 2.4204962502677922, '600': 9.84886756329367, '800': 11.983976461954942, '1000': 17.264472634053067}","{'200': 0.6256885370296728, '400': 3.927289013030127, '600': 36.373895503599584, '800': 45.80843328950244, '1000': 53.16067596515619}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.1, 0.7]",3.151555555555557,0.9624643267399122,"{'200': 0.9305393437629187, '400': 1.760246958830235, '600': 4.769492589075225, '800': 8.650699210054572, '1000': 16.64895131732514}","{'200': 0.5872990202399555, '400': 0.4726120355354903, '600': 17.31857983784749, '800': 31.187654899958478, '1000': 47.43532167929384}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.1, 0.7]",3.3640000000000003,1.2317546653272948,"{'200': 0.8467515321431078, '400': 1.7110018048978828, '600': 5.915463194483942, '800': 7.039496099394999, '1000': 15.300244988123373}","{'200': 0.5915507691292121, '400': 0.4707238540006922, '600': 26.14153106925949, '800': 32.844003061171215, '1000': 50.68774884866896}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.1, 0.7]",3.5355555555555567,1.6543324340860681,"{'200': 0.7894408835414785, '400': 1.6913512008837792, '600': 1.924600450059726, '800': 2.646418955156668, '1000': 8.213505390863816}","{'200': 0.5548584856047695, '400': 0.5157110545427368, '600': 0.41619000350043556, '800': 3.9021376319073093, '1000': 28.31361372477279}"
0.01,0.2,"[0.5, 0.1]","[0.3, 0.1, 0.7]",3.1177777777777793,1.0151406884190735,"{'200': 0.8999542111430417, '400': 1.8330615105766765, '600': 5.296493531814022, '800': 15.02831501231483, '1000': 20.993816499819694}","{'200': 0.552109347118958, '400': 0.43478459127885444, '600': 21.447513036336286, '800': 72.4683293414068, '1000': 92.55105725310976}"
0.01,0.2,"[0.5, 0.3]","[0.3, 0.1, 0.7]",3.484444444444446,1.0657737002980106,"{'200': 0.8490605410571688, '400': 5.611009370119089, '600': 9.505043612656065, '800': 15.542255807056776, '1000': 24.667875607132245}","{'200': 0.5913220646058334, '400': 25.824343955461323, '600': 38.66839303951956, '800': 52.05081882169309, '1000': 68.44548758084147}"
0.01,0.2,"[0.5, 0.5]","[0.3, 0.1, 0.7]",3.431555555555557,1.2814678312268066,"{'200': 0.7955432483518824, '400': 1.6908992920484593, '600': 9.283125956540578, '800': 17.436187226403764, '1000': 24.557845953221427}","{'200': 0.5224481761523941, '400': 0.49104293982586933, '600': 36.50739115325018, '800': 53.57925740254375, '1000': 66.76368211807964}"
