tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.085,0.9,"[0.5, 0.7]","[0.3, 0.7, 0.3]",6.476,2.065934876,"{'200': 0.09744474051962156, '400': 0.5094270759232026, '600': 1.4506427599101348, '800': 1.7644955846975219, '1000': 1.9481730443732923}","{'200': 0.132063609649281, '400': 0.5045023914726029, '600': 0.6740447929656367, '800': 0.6046003966161657, '1000': 0.5024616139120525}"
0.085,0.9,"[0.3, 0.1]","[0.3, 0.7, 0.5]",6.4704,1.847846073,"{'200': 0.08220044749051451, '400': 0.5439871016641072, '600': 1.4350820821591936, '800': 1.7541494644191147, '1000': 1.908662722187882}","{'200': 0.1221357464500405, '400': 0.5122677962757138, '600': 0.3618733232339397, '800': 0.24892040917520714, '1000': 0.2511723771869689}"
0.085,0.9,"[0.7, 0.3]","[0.3, 0.3, 0.9]",6.4688,2.026685477,"{'200': 0.14398306245037495, '400': 0.5427823327113768, '600': 1.386975420908387, '800': 1.716179617973652, '1000': 1.910361973750868}","{'200': 0.2723845426228102, '400': 0.5126630521315874, '600': 0.3972655807711788, '800': 0.28205569899277727, '1000': 0.2685406018534039}"
0.085,0.7,"[0.3, 0.1]","[0.3, 0.5, 0.9]",6.4628,2.492024453,"{'200': 0.0966051949163285, '400': 0.5164093318054693, '600': 1.2900041985167208, '800': 1.6592009613223229, '1000': 1.878293196642509}","{'200': 0.13958852155705137, '400': 0.4246341694743105, '600': 0.46651456238935624, '800': 0.2999817226455204, '1000': 0.2596840538639973}"
0.085,0.7,"[0.5, 0.9]","[0.3, 0.3, 0.9]",6.4552,2.303575149,"{'200': 0.09358090581695974, '400': 0.5774619462765499, '600': 1.382027027288663, '800': 1.7489365666159042, '1000': 1.9220757458106366}","{'200': 0.1251665211934298, '400': 0.5397719330506802, '600': 0.4638004978723938, '800': 0.30059284163220806, '1000': 0.2668343519755755}"
0.085,0.7,"[0.1, 0.3]","[0.3, 0.7, 0.7]",6.4468,2.218728186,"{'200': 0.0823208232585283, '400': 0.5024547445103664, '600': 1.3313067609218092, '800': 1.677683027964824, '1000': 1.869377457559392}","{'200': 0.12495389028399474, '400': 0.39143281035733263, '600': 0.3989662034340726, '800': 0.3105236268426715, '1000': 0.2666893034002867}"
0.085,0.7,"[0.9, 0.3]","[0.3, 0.3, 0.5]",6.4464,1.82502895,"{'200': 0.08022081303126259, '400': 0.4530102302571826, '600': 1.3321749305472497, '800': 1.6528172019101126, '1000': 1.8470683921071356}","{'200': 0.12185370146147, '400': 0.3326488651148416, '600': 0.36697546629120353, '800': 0.289928028878657, '1000': 0.26937532397886266}"
0.085,0.45,"[0.5, 0.7]","[0.3, 0.3, 0.1]",6.4256,2.247303526,"{'200': 0.14590222258006946, '400': 0.6132165955681328, '600': 1.3869446586772252, '800': 1.6940100509671003, '1000': 1.8830280272525064}","{'200': 0.26130555438548364, '400': 0.5695293844845031, '600': 0.39965978245996797, '800': 0.29572413828949373, '1000': 0.2801534126736849}"
0.085,0.7,"[0.3, 0.3]","[0.3, 0.5, 0.9]",6.4188,1.667676494,"{'200': 0.08423453809876688, '400': 0.5847472000393522, '600': 1.452028740396503, '800': 1.7378032341187921, '1000': 1.9042766953731598}","{'200': 0.10022324039318531, '400': 0.41882789062171427, '600': 0.270058002274443, '800': 0.23075276375253573, '1000': 0.23391069577526194}"
0.085,0.7,"[0.9, 0.1]","[0.3, 0.3, 0.7]",6.4172,1.704908585,"{'200': 0.10262524055229702, '400': 0.5296790237861854, '600': 1.390292607278596, '800': 1.7186216253234183, '1000': 1.8870307466142493}","{'200': 0.16594265610561884, '400': 0.4762261191989939, '600': 0.35600958835493957, '800': 0.28415546678938913, '1000': 0.25212722616711813}"
0.085,0.7,"[0.5, 0.1]","[0.3, 0.3, 0.5]",6.4164,1.829825007,"{'200': 0.1300153794566687, '400': 0.5663733050646219, '600': 1.4420379399158756, '800': 1.730287090566735, '1000': 1.9005909538516432}","{'200': 0.2442201075131507, '400': 0.5504315570683267, '600': 0.31227811228539176, '800': 0.27765215122684883, '1000': 0.24961231459926858}"
0.085,0.9,"[0.5, 0.5]","[0.3, 0.5, 0.9]",6.4152,1.975478114,"{'200': 0.14370227924235282, '400': 0.5534448703664505, '600': 1.4245971927570045, '800': 1.763217909567512, '1000': 1.942702533433168}","{'200': 0.33331387023981285, '400': 0.56403580958321, '600': 0.37145883937191143, '800': 0.27653645741233834, '1000': 0.26521743981515183}"
0.085,0.45,"[0.3, 0.9]","[0.3, 0.3, 0.7]",6.4148,1.715069361,"{'200': 0.07312046706558738, '400': 0.5944438271453933, '600': 1.422698886810875, '800': 1.727724023180856, '1000': 1.9166404718539423}","{'200': 0.09629545924619103, '400': 0.5144429505913195, '600': 0.3431955189443035, '800': 0.26384189978890854, '1000': 0.2441763780608773}"
0.085,0.7,"[0.7, 0.1]","[0.3, 0.3, 0.3]",6.4104,1.941983408,"{'200': 0.10961087283836556, '400': 0.506929950560719, '600': 1.3615131231723898, '800': 1.6666499932003969, '1000': 1.851445846966042}","{'200': 0.2067824179613312, '400': 0.4518853866007303, '600': 0.3673044506063925, '800': 0.26872109322248006, '1000': 0.2615880540276703}"
0.085,0.7,"[0.3, 0.7]","[0.3, 0.5, 0.3]",6.4068,1.718880256,"{'200': 0.07978982261930602, '400': 0.5283989813895383, '600': 1.3835463344310033, '800': 1.6884176933913817, '1000': 1.8606102747840951}","{'200': 0.09568567820798189, '400': 0.4435401339561698, '600': 0.29653546585651036, '800': 0.26555074036988663, '1000': 0.2618604165313429}"
0.085,0.9,"[0.9, 0.9]","[0.3, 0.7, 0.7]",6.4068,2.16556649,"{'200': 0.13695026469133345, '400': 0.6805915637602732, '600': 1.4930135554968498, '800': 1.8162915547473706, '1000': 1.984277201737913}","{'200': 0.2681667454821431, '400': 0.6246932656840912, '600': 0.542201150842154, '800': 0.509423169999834, '1000': 0.4758462190929187}"
0.085,0.7,"[0.3, 0.9]","[0.3, 0.3, 0.5]",6.4016,2.432838874,"{'200': 0.13037766665548564, '400': 0.5185352803465221, '600': 1.3210394401181036, '800': 1.6460961507924454, '1000': 1.8135765043487693}","{'200': 0.21594195028014607, '400': 0.4851140341701207, '600': 0.4186348966131828, '800': 0.3514722635691495, '1000': 0.29129967038854215}"
0.085,0.7,"[0.9, 0.3]","[0.3, 0.3, 0.7]",6.4008,1.841552002,"{'200': 0.0891795986746661, '400': 0.5502149850948012, '600': 1.3723406004618235, '800': 1.692190060085802, '1000': 1.873093306383786}","{'200': 0.13402254558375504, '400': 0.3926210086629297, '600': 0.32104276704765755, '800': 0.2498059388832498, '1000': 0.23899308430730157}"
0.085,0.45,"[0.7, 0.3]","[0.3, 0.3, 0.5]",6.3992,2.073033729,"{'200': 0.11474844118687595, '400': 0.5580202509705381, '600': 1.3560412123365782, '800': 1.6722292342391245, '1000': 1.8477943697650938}","{'200': 0.1756116516886731, '400': 0.44253430832628765, '600': 0.32137459496986737, '800': 0.2212215121970272, '1000': 0.23073408866466155}"
0.085,0.45,"[0.3, 0.7]","[0.3, 0.3, 0.5]",6.398,2.427177805,"{'200': 0.11356513619205279, '400': 0.6743051354174439, '600': 1.3894162459261967, '800': 1.6809620289204124, '1000': 1.8754959372892248}","{'200': 0.19478722988053068, '400': 0.5278960974759818, '600': 0.3880444357979207, '800': 0.34387937200764473, '1000': 0.2967035385204317}"
