r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.5,0.06,0.2,0.1,1e-08,0.1,6.647835826866149,3.6013755165885337,"{'200': 0.000988972196318275, '400': 0.00187084498665563, '600': 0.0036191862709019653, '800': 0.005105656728145615, '1000': 0.006789714222025722}","{'200': 0.0007801126759085638, '400': 0.0010959391271954896, '600': 0.0031982109461092573, '800': 0.004444041449859063, '1000': 0.006030716260947555}"
0.5,0.06,0.2,0.1,1e-08,0.3,7.372314674062815,4.119776771993342,"{'200': 0.0008839197802691897, '400': 0.001666340743936416, '600': 0.0031954659600156514, '800': 0.004581482163455717, '1000': 0.006308687917678879}","{'200': 0.0007092670888732607, '400': 0.0009610358890962324, '600': 0.0031916734670666834, '800': 0.0045949049673729364, '1000': 0.006433090490568448}"
0.5,0.06,0.2,0.1,1e-08,0.5,6.968686828279595,3.8168772440726713,"{'200': 0.0009088102396934913, '400': 0.0015296083241863358, '600': 0.003176753573926437, '800': 0.004845046471648971, '1000': 0.006704900752549621}","{'200': 0.0007426785005731868, '400': 0.0009412877986602919, '600': 0.0034576838741875457, '800': 0.005153079235482725, '1000': 0.007285590106778777}"
0.5,0.06,0.2,0.1,1e-08,0.7,6.997878052466421,3.8218035581879874,"{'200': 0.0008224293260399307, '400': 0.0014746769599883836, '600': 0.003010806239790572, '800': 0.004556786680269752, '1000': 0.006291972679590386}","{'200': 0.0006618793038185908, '400': 0.0009267703833444364, '600': 0.002947859129675354, '800': 0.004354898117449728, '1000': 0.006111240424674114}"
0.5,0.06,0.2,0.1,1e-08,0.9,7.154216781786987,3.970145534433227,"{'200': 0.0008163497662292389, '400': 0.0015263372525163605, '600': 0.0031202268729364764, '800': 0.004637193436040173, '1000': 0.006348443057422445}","{'200': 0.0007356814663317428, '400': 0.001101333302538622, '600': 0.0036197758985172914, '800': 0.00518908588387633, '1000': 0.007204789668441372}"
0.5,0.06,0.2,0.3,1e-08,0.1,6.672577361744495,3.5582022452552895,"{'200': 0.0006961467712526445, '400': 0.0012684002142439377, '600': 0.002882058889286388, '800': 0.004401955241013384, '1000': 0.006058086971707443}","{'200': 0.0005651263986603797, '400': 0.0007851520711947487, '600': 0.0026008834465136308, '800': 0.003631428321989295, '1000': 0.00505580310386919}"
0.5,0.06,0.2,0.3,1e-08,0.3,6.2933439119574,3.126553741167662,"{'200': 0.0007263833302255764, '400': 0.0013090790428177692, '600': 0.0030488236681659544, '800': 0.004713681330986551, '1000': 0.00653176593503582}","{'200': 0.0006058010279089381, '400': 0.000908229232485496, '600': 0.0029822673219785188, '800': 0.004196007397573502, '1000': 0.00582578858526466}"
0.5,0.06,0.2,0.3,1e-08,0.5,6.499639082237689,3.3603099926634963,"{'200': 0.0007561863732184416, '400': 0.0013661567654816439, '600': 0.0031255019249524334, '800': 0.004777751783558436, '1000': 0.006546334396010536}","{'200': 0.0006720551579318501, '400': 0.0010749685312719279, '600': 0.0032816350748255127, '800': 0.004626730976223151, '1000': 0.006437085857590962}"
0.5,0.06,0.2,0.3,1e-08,0.7,6.291702891786898,3.2284211518973427,"{'200': 0.0007684934002091847, '400': 0.0014298766512684479, '600': 0.003084496815414438, '800': 0.004778532600104927, '1000': 0.006494592595819293}","{'200': 0.0007296628371595016, '400': 0.001203775382590594, '600': 0.0029603086511212607, '800': 0.0042442254559263365, '1000': 0.005860640334986824}"
0.5,0.06,0.2,0.3,1e-08,0.9,6.236570925674054,2.9930058797024417,"{'200': 0.0007102561722745087, '400': 0.0013721351070692266, '600': 0.003149084481316232, '800': 0.004837991391688863, '1000': 0.006540562078724077}","{'200': 0.000679433599428654, '400': 0.0010777678781642645, '600': 0.00393208326253032, '800': 0.005597716247180192, '1000': 0.00782645727181704}"
0.5,0.06,0.2,0.5,1e-08,0.1,5.988208834484535,3.192589991428291,"{'200': 0.0008659315203163743, '400': 0.0015396912786182397, '600': 0.0034978464720734916, '800': 0.005426528259888139, '1000': 0.007458682408699033}","{'200': 0.0007004492708156663, '400': 0.00102091548340535, '600': 0.0028381088201977814, '800': 0.004009971985550668, '1000': 0.005593033922563881}"
0.5,0.06,0.2,0.5,1e-08,0.3,5.657985083251104,2.5855831036524233,"{'200': 0.0008962309423268368, '400': 0.0016908361963365792, '600': 0.0038125563868398908, '800': 0.005882242233310463, '1000': 0.007971639276042242}","{'200': 0.0007753728212619281, '400': 0.0012105439583914566, '600': 0.0033542934385939493, '800': 0.004696311409430213, '1000': 0.006548100056629937}"
0.5,0.06,0.2,0.5,1e-08,0.5,5.770016267968103,2.689616635836503,"{'200': 0.0008730270714152819, '400': 0.0015879188702117538, '600': 0.0037978818711822434, '800': 0.005894191721151908, '1000': 0.008056420246994444}","{'200': 0.0007179192633822285, '400': 0.0010953562200939858, '600': 0.003939392396289643, '800': 0.005612503345764866, '1000': 0.007888446053857757}"
0.5,0.06,0.2,0.5,1e-08,0.7,6.005439546274813,2.9624799347686683,"{'200': 0.00088526540616133, '400': 0.0016910091258973319, '600': 0.0038364627828044624, '800': 0.005919940802248675, '1000': 0.008054159039950494}","{'200': 0.0007917353127158184, '400': 0.0012364255848764782, '600': 0.004172664131094322, '800': 0.005960314022614894, '1000': 0.00832986326482313}"
