r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.5,0.02,0.2,0.1,1e-08,0.1,6.365454125218907,3.2011522440141023,"{'200': 0.0009266625301524481, '400': 0.0018439404144034327, '600': 0.0038959512679517276, '800': 0.00556041322515678, '1000': 0.007492923438392804}","{'200': 0.0007161384747038535, '400': 0.0011412336313247726, '600': 0.003967160298647992, '800': 0.0055321744084419495, '1000': 0.007604969098872866}"
0.5,0.02,0.2,0.1,1e-08,0.3,7.23314354037212,4.129056507888745,"{'200': 0.0009898254236629014, '400': 0.0018559839089825315, '600': 0.003563468900242995, '800': 0.0050852199172565305, '1000': 0.006756408539657523}","{'200': 0.0007970484867089072, '400': 0.001320520702234233, '600': 0.0028807144109349635, '800': 0.004063444863475811, '1000': 0.005478475195222984}"
0.5,0.02,0.2,0.1,1e-08,0.5,6.619370438523973,3.46666526075569,"{'200': 0.000919700285537489, '400': 0.0017446000239584344, '600': 0.0034674198696572713, '800': 0.005124690236928774, '1000': 0.00692083666282983}","{'200': 0.0007802743249529733, '400': 0.001070355970040694, '600': 0.0035910298800291294, '800': 0.005132958784092787, '1000': 0.007184406156278159}"
0.5,0.02,0.2,0.1,1e-08,0.7,7.155605337315875,3.940376892344913,"{'200': 0.0008236126684512694, '400': 0.0015528525109109802, '600': 0.003118219597634677, '800': 0.004705689940492154, '1000': 0.006501367039933274}","{'200': 0.0006531535310238709, '400': 0.0008654492988406715, '600': 0.0027421425851226655, '800': 0.004040931727317842, '1000': 0.005726888096754354}"
0.5,0.02,0.2,0.1,1e-08,0.9,7.287707461041327,3.989962139519922,"{'200': 0.0008167097933133547, '400': 0.001513792926288294, '600': 0.003125443615037891, '800': 0.004692775109513661, '1000': 0.006403115214382122}","{'200': 0.0006988810095432056, '400': 0.0011072816704325113, '600': 0.003301222376745358, '800': 0.004757760453524933, '1000': 0.0066473359934492385}"
0.5,0.02,0.2,0.3,1e-08,0.1,7.044489336924731,3.9987989003074667,"{'200': 0.0007400026701326615, '400': 0.0012467979854987805, '600': 0.0028158064895558825, '800': 0.004401007255020208, '1000': 0.00612287934291935}","{'200': 0.0005811073577887266, '400': 0.0008378804848668041, '600': 0.0023981404514266617, '800': 0.003411193134230961, '1000': 0.004752824424449264}"
0.5,0.02,0.2,0.3,1e-08,0.3,6.567709861233343,3.5921748074221886,"{'200': 0.0007660667236524697, '400': 0.001365640125752769, '600': 0.0031737058977374787, '800': 0.004946367471020124, '1000': 0.0067829241277706865}","{'200': 0.0006450851790408217, '400': 0.0009728911014019754, '600': 0.0031141022837024497, '800': 0.0044710705140254756, '1000': 0.006266345809008962}"
0.5,0.02,0.2,0.3,1e-08,0.5,6.643070556755651,3.6534563000745766,"{'200': 0.0007663053988380373, '400': 0.0013947517206959674, '600': 0.003208184930868762, '800': 0.004971792434907819, '1000': 0.006807419212598388}","{'200': 0.0006491401991698528, '400': 0.0010556617199347289, '600': 0.003271775088936061, '800': 0.004677760226232294, '1000': 0.00653076374762249}"
0.5,0.02,0.2,0.3,1e-08,0.7,6.103017130259309,2.8723410465540984,"{'200': 0.0007534962583210562, '400': 0.0014828552395591626, '600': 0.0032635640094472304, '800': 0.004969087465953216, '1000': 0.006693941826511008}","{'200': 0.0007049528280041887, '400': 0.0011969233762799192, '600': 0.003264204356306892, '800': 0.0046186028644046905, '1000': 0.006397758155327833}"
0.5,0.02,0.2,0.3,1e-08,0.9,6.8203638513303275,3.825151437727398,"{'200': 0.000726751744142029, '400': 0.0013724892163346004, '600': 0.00306226729674235, '800': 0.004733782003027363, '1000': 0.006496038461733891}","{'200': 0.0006760135053592945, '400': 0.0011483208693080906, '600': 0.003503428563364214, '800': 0.0050046643449883155, '1000': 0.006930429672462063}"
